R package version: 0.0-43
Summary type: median
Test type: wilcoxon
x-axis treatment: 20
x-axis medium: SDM_rhl_CNGT
x-axis screen ID: cSGA
x-axis screen name: cSGA
x-axis libraries: Boone Standard SDL
x-axis client: MS
x-axis user: SGA
x-axis date: 2009
x-axis PI: DAL
x-axis condition: 
x-axis inoculation type: DIL
x-axis fitness definition: AUC
y-axis treatment: 20
y-axis medium: SDM_rhl_CNGHT
y-axis screen ID: bir1-17
y-axis screen name: bir1-17
y-axis libraries: 
y-axis client: MS
y-axis user: AC
y-axis date: 2010
y-axis PI: DAL
y-axis condition: 
y-axis inoculation type: DIL
y-axis fitness definition: AUC
#########################################################
ORF	Gene	P	Q	GIS	QueryFitnessSummary	ControlFitnessSummary	QuerySE	ControlSE	QueryCount	ControlCount	TestType	Type
YCL032W	STE50	0.0040404	0.0698413	-1373910	2080.6	1546220	734.25	46487.5	4	8	wilcoxon	E
YDR318W	MCM21	0.0040404	0.0698413	-1257170	230124	1667090	20283.5	83692.6	4	8	wilcoxon	E
YDL035C	GPR1	0.0484848	0.273413	-1189640	724.725	1463820	345973	206612	4	8	wilcoxon	E
YPL181W	CTI6	0.0040404	0.0698413	-1165990	667952	2178010	63087.1	88867.8	4	8	wilcoxon	E
YPL018W	CTF19	0.0040404	0.0698413	-1165040	183646	1524610	50790.8	76367.1	4	8	wilcoxon	E
YBR238C	YBR238C	0.0040404	0.0698413	-1119160	289762	1619140	40285.2	87898.9	4	8	wilcoxon	E
YOR058C	ASE1	0.0484848	0.273413	-1097070	24325.9	1377150	251449	170953	4	8	wilcoxon	E
YER016W	BIM1	0.0040404	0.0698413	-1078790	60465.2	1275790	15727.5	237621	4	8	wilcoxon	E
YGL046W	YGL046W	0.0040404	0.0698413	-984745	488054	1657570	122509	39238.7	4	8	wilcoxon	E
YBL025W	RRN10	0.148126	0.460824	-971143	9676.17	1568080	253839	359373	4	8	wilcoxon	E
YNL097C	PHO23	0.0040404	0.0698413	-949931	498619	1624090	33516.6	129103	4	8	wilcoxon	E
YHL027W	RIM101	0.0040404	0.0698413	-946049	426430	1542350	24904.6	45187.7	4	8	wilcoxon	E
YPL182C	YPL182C	0.0040404	0.0698413	-910888	757917	1833140	49408	91720	4	8	wilcoxon	E
YCL044C	MGR1	0.0040404	0.0698413	-847656	325853	1323600	27811.3	91896.4	4	8	wilcoxon	E
YOR030W	DFG16	0.0040404	0.0698413	-840979	580597	1624440	56321.2	61737.5	4	8	wilcoxon	E
YOR275C	RIM20	0.0040404	0.0698413	-832519	472292	1478250	21354.1	43116.4	4	8	wilcoxon	E
YBR095C	RXT2	0.00362121	0.0698413	-810098	345020	1253700	34480.7	138949	8	16	wilcoxon	E
YGR122W	YGR122W	0.0040404	0.0698413	-797744	614946	1587540	29045.9	28484.8	4	8	wilcoxon	E
YJR145C	RPS4A	0.0040404	0.0698413	-787844	411300	1296930	39904.4	113137	4	8	wilcoxon	E
YGR231C	PHB2	1.05027e-13	4.4479e-10	-782064	272086	1160160	21214.3	32110.2	28	56	wilcoxon	E
YPR052C	NHP6A	0.0040404	0.0698413	-772442	903742	1873040	17703.2	59760.8	4	8	wilcoxon	E
YMR263W	SAP30	0.0040404	0.0698413	-771848	510861	1409210	62655.6	48641.4	4	8	wilcoxon	E
YNR041C	COQ2	0.0040404	0.0698413	-769995	667.091	865702	172.116	49603.7	4	8	wilcoxon	E
YKL032C	IXR1	0.0040404	0.0698413	-760205	212136	1046800	33779.7	62469.7	4	8	wilcoxon	E
YPL139C	UME1	0.0040404	0.0698413	-758376	791778	1676370	57239.5	87982.4	4	8	wilcoxon	E
YPL017C	IRC15	0.0040404	0.0698413	-741275	730303	1705160	67338.6	63843.9	4	8	wilcoxon	E
YGL045W	RIM8	0.0040404	0.0698413	-741010	606912	1520640	69936	112649	4	8	wilcoxon	E
YNL294C	RIM21	0.0040404	0.0698413	-729753	674575	1556790	37975.2	61113.1	4	8	wilcoxon	E
YMR243C	ZRC1	0.0040404	0.0698413	-728031	657644	1553630	75090.1	100934	4	8	wilcoxon	E
YMR154C	RIM13	0.0040404	0.0698413	-709606	681847	1614840	73332.9	91844.7	4	8	wilcoxon	E
YDR395W	SXM1	0.0040404	0.0698413	-704592	946762	1785820	53318.8	101724	4	8	wilcoxon	E
YBR092C	PHO3	0.0040404	0.0698413	-687581	1103830	1941260	102549	125981	4	8	wilcoxon	E
