R package version: 0.0-43
Summary type: mean
Test type: t-test
x-axis treatment: 20
x-axis medium: SDM_rhl_CNGT
x-axis screen ID: cSGA
x-axis screen name: cSGA
x-axis libraries: Boone Standard SDL
x-axis client: MS
x-axis user: SGA
x-axis date: 2009
x-axis PI: DAL
x-axis condition: 
x-axis inoculation type: DIL
x-axis fitness definition: AUC
y-axis treatment: 20
y-axis medium: SDM_rhl_CNGHT
y-axis screen ID: bir1-17
y-axis screen name: bir1-17
y-axis libraries: 
y-axis client: MS
y-axis user: AC
y-axis date: 2010
y-axis PI: DAL
y-axis condition: 
y-axis inoculation type: DIL
y-axis fitness definition: AUC
#########################################################
ORF	Gene	P	Q	GIS	QueryFitnessSummary	ControlFitnessSummary	QuerySE	ControlSE	QueryCount	ControlCount	TestType	Type
YCL032W	STE50	5.62386e-09	4.16299e-06	-1380530	2044.32	1551650	734.25	46487.5	4	8	t-test	E
YDR318W	MCM21	2.51518e-07	8.8765e-05	-1230480	228219	1637080	20283.5	83692.6	4	8	t-test	E
YPL181W	CTI6	7.21339e-07	0.000160783	-1141690	700030	2066940	63087.1	88867.8	4	8	t-test	E
YPL018W	CTF19	1.25424e-07	5.90192e-05	-1133600	200863	1497650	50790.8	76367.1	4	8	t-test	E
YBR238C	YBR238C	2.97287e-07	9.68471e-05	-1097480	304797	1573760	40285.2	87898.9	4	8	t-test	E
YER016W	BIM1	0.00200719	0.0480252	-1009850	58477.2	1198970	15727.5	237621	4	8	t-test	E
YNL097C	PHO23	4.1933e-05	0.00328254	-954391	483120	1613300	33516.6	129103	4	8	t-test	E
YHL027W	RIM101	2.71364e-09	2.87307e-06	-927814	437858	1532680	24904.6	45187.7	4	8	t-test	E
YGL046W	YGL046W	0.00325952	0.0660482	-915686	535688	1628860	122509	39238.7	4	8	t-test	E
YPL182C	YPL182C	3.1012e-06	0.000505138	-890992	740050	1830500	49408	91720	4	8	t-test	E
YDL035C	GPR1	0.0869976	0.3706	-841984	346683	1334030	345973	206612	4	8	t-test	E
YOR030W	DFG16	4.43141e-06	0.000647138	-833277	617642	1628350	56321.2	61737.5	4	8	t-test	E
YBL025W	RRN10	0.0705705	0.329147	-830282	260254	1223900	253839	359373	4	8	t-test	E
YCL044C	MGR1	8.00442e-06	0.000997021	-828699	329861	1300240	27811.3	91896.4	4	8	t-test	E
YOR275C	RIM20	5.89798e-09	4.16299e-06	-813758	481419	1453560	21354.1	43116.4	4	8	t-test	E
YPR052C	NHP6A	3.54152e-07	0.000107131	-800561	886293	1893140	17703.2	59760.8	4	8	t-test	E
YGR122W	YGR122W	7.30475e-08	4.41937e-05	-797714	602676	1571640	29045.9	28484.8	4	8	t-test	E
YGR231C	PHB2	1.45816e-36	6.17532e-33	-795786	265631	1191210	21214.3	32110.2	28	56	t-test	E
