R package version: 0.0-43
Summary type: median
Test type: wilcoxon
x-axis treatment: 37
x-axis medium: SDM_rhl_CNGT
x-axis screen ID: cSGA
x-axis screen name: cSGA
x-axis libraries: Boone Standard SDL
x-axis client: MS
x-axis user: SGA
x-axis date: 2009
x-axis PI: DAL
x-axis condition: 
x-axis inoculation type: DIL
x-axis fitness definition: AUC
y-axis treatment: 37
y-axis medium: SDM_rhl_CNGHT
y-axis screen ID: bir1-17
y-axis screen name: bir1-17
y-axis libraries: 
y-axis client: MS
y-axis user: AC
y-axis date: 2010
y-axis PI: DAL
y-axis condition: 
y-axis inoculation type: DIL
y-axis fitness definition: AUC
#########################################################
ORF	Gene	P	Q	GIS	QueryFitnessSummary	ControlFitnessSummary	QuerySE	ControlSE	QueryCount	ControlCount	TestType	Type
YOR349W	CIN1	0.0040404	0.0168086	-1262730	1313.31	2528040	388.508	139155	4	8	wilcoxon	E
YBL025W	RRN10	0.549409	0.683475	-1126380	7013.66	2299490	5412.12	475796	4	8	wilcoxon	E
YJR135C	MCM22	0.0040404	0.0168086	-1104160	617.767	2208450	163.673	115247	4	8	wilcoxon	E
YML124C	TUB3	0.0040404	0.0168086	-1101040	2165.94	2237380	17124.9	70678.9	4	8	wilcoxon	E
YDR254W	CHL4	0.00836037	0.0287621	-1095530	348.54	2204910	25915.6	153388	4	8	wilcoxon	E
YOR195W	SLK19	0.0040404	0.0168086	-1081040	6220.13	2243980	24742.3	107611	4	8	wilcoxon	E
YCL032W	STE50	0.0040404	0.0168086	-1068120	9010.01	2179630	6840.06	150941	4	8	wilcoxon	E
YPL253C	VIK1	0.0040404	0.0168086	-1062570	4381.57	2160790	8267.36	150134	4	8	wilcoxon	E
YLR381W	CTF3	0.0040404	0.0168086	-1029440	701.142	2060480	200.432	129033	4	8	wilcoxon	E
YGL217C	YGL217C	1.05027e-13	8.89581e-11	-1017250	35439.5	2140010	13066.2	40462.9	28	56	wilcoxon	E
YFR046C	CNN1	0.0040404	0.0168086	-1002870	21337.9	2038880	5834.18	92787.4	4	8	wilcoxon	E
YPR046W	MCM16	0.0040404	0.0168086	-976794	1001.79	1955080	1203.55	236920	4	8	wilcoxon	E
YLR412W	BER1	0.0040404	0.0168086	-969219	34242.8	2023800	20713.8	111010	4	8	wilcoxon	E
YDR318W	MCM21	0.0040404	0.0168086	-956571	906.807	1919550	1389.46	104044	4	8	wilcoxon	E
YAL056W	GPB2	0.0040404	0.0168086	-952343	28345	1963730	2636.97	220426	4	8	wilcoxon	E
YGL216W	KIP3	0.0040404	0.0168086	-941215	5725.3	1896030	2850.62	133554	4	8	wilcoxon	E
YER007W	PAC2	0.0040404	0.0168086	-941028	68968.2	1997690	22964.4	96956.5	4	8	wilcoxon	E
YGL086W	MAD1	0.0040404	0.0168086	-935099	177993	2180860	25459.8	108707	4	8	wilcoxon	E
YER177W	BMH1	0.0040404	0.0168086	-927423	3034.21	1864970	2142.86	76348.7	4	8	wilcoxon	E
YKL025C	PAN3	0.0040404	0.0168086	-922441	462636	2775120	37596.3	121918	4	8	wilcoxon	E
YPL017C	IRC15	0.0216256	0.0636003	-920678	497.028	2146010	224515	123169	4	8	wilcoxon	E
YPL018W	CTF19	0.0040404	0.0168086	-916587	734.173	1836710	698.323	65957.2	4	8	wilcoxon	E
YCR082W	AHC2	0.0040404	0.0168086	-909323	65638.2	1968500	13224.8	63917.9	4	8	wilcoxon	E
YBR107C	IML3	0.0040404	0.0168086	-906515	627.278	1813230	161.569	79051.7	4	8	wilcoxon	E
YCR065W	HCM1	0.0040404	0.0168086	-905855	45499.7	1963980	33637	112426	4	8	wilcoxon	E
YHR030C	SLT2	0.0040404	0.0168086	-902223	126762	2087070	44846.9	102462	4	8	wilcoxon	E
YPL036W	PMA2	0.0040404	0.0168086	-900737	159416	2197160	61837.2	184026	4	8	wilcoxon	E
YHR199C	AIM46	0.0040404	0.0168086	-894336	142467	2107100	46910.8	124504	4	8	wilcoxon	E
YGL094C	PAN2	0.0040404	0.0168086	-892761	528134	2718330	154126	92501.5	4	8	wilcoxon	E
YOR023C	AHC1	0.0040404	0.0168086	-890972	59123.4	1924360	21521.5	64482.6	4	8	wilcoxon	E
YOR066W	MSA1	0.214141	0.336633	-890062	76096.1	2061320	325704	107040	4	8	wilcoxon	E
YJL187C	SWE1	0.0040404	0.0168086	-876930	34307.9	1825250	24353.1	104634	4	8	wilcoxon	E
YOR109W	INP53	0.0040404	0.0168086	-874404	112714	1973730	37624.2	83309.2	4	8	wilcoxon	E
YML022W	APT1	0.214141	0.336633	-866528	105875	1995020	428574	106732	4	8	wilcoxon	E
YER167W	BCK2	0.0040404	0.0168086	-854913	317105	2362100	42385.4	118530	4	8	wilcoxon	E
YGL115W	SNF4	0.0040404	0.0168086	-853888	4976.82	1719800	2621.75	189664	4	8	wilcoxon	E
YPR068C	HOS1	0.0040404	0.0168086	-851927	219236	2252530	42622.9	122771	4	8	wilcoxon	E
YPL008W	CHL1	0.0040404	0.0168086	-851168	2462.76	1707190	616.323	83740.8	4	8	wilcoxon	E
YDR014W	RAD61	0.214141	0.336633	-848127	63745.1	1892760	419274	131654	4	8	wilcoxon	E
YPL051W	ARL3	0.0040404	0.0168086	-844549	86700.9	1889240	24085.1	64032.1	4	8	wilcoxon	E
YOR135C	IRC14	0.0040404	0.0168086	-842196	48311.3	1768860	4610.05	138116	4	8	wilcoxon	E
YIL097W	FYV10	0.0040404	0.0168086	-838898	148433	2085720	64631.8	137674	4	8	wilcoxon	E
YLR183C	TOS4	0.0040404	0.0168086	-835155	315151	2261490	34343.4	148263	4	8	wilcoxon	E
YBR245C	ISW1	0.0040404	0.0168086	-825365	71227.7	1842920	20720.5	76484.3	4	8	wilcoxon	E
YJL188C	BUD19	0.0040404	0.0168086	-824313	37569.2	1723320	6931.37	105198	4	8	wilcoxon	E
YGR040W	KSS1	0.0040404	0.0168086	-821020	247406	2136300	43968.6	138850	4	8	wilcoxon	E
YOR129C	AFI1	0.0040404	0.0168086	-820336	260195	2193230	44305.4	97009.8	4	8	wilcoxon	E
YGR071C	ENV11	0.0040404	0.0168086	-819472	339953	2397490	123101	107156	4	8	wilcoxon	E
YOL068C	HST1	0.214141	0.336633	-809984	91687.7	1822730	356700	100738	4	8	wilcoxon	E
YOL119C	MCH4	0.0040404	0.0168086	-809818	325821	2235630	76189.1	85575.8	4	8	wilcoxon	E
YLR095C	IOC2	0.0040404	0.0168086	-809515	102849	1824250	21283.2	115953	4	8	wilcoxon	E
YOR136W	IDH2	0.0040404	0.0168086	-803935	235914	2059310	174294	79035.3	4	8	wilcoxon	E
YOR058C	ASE1	0.109091	0.209334	-798503	22651.7	1766940	224737	229544	4	8	wilcoxon	E
YIL058W	YIL058W	0.00808081	0.028074	-797256	228802	2111050	180082	187167	4	8	wilcoxon	E
YDR477W	SNF1	0.0040404	0.0168086	-794923	26773.7	1635580	3456.47	152348	4	8	wilcoxon	E
YPL184C	MRN1	0.0040404	0.0168086	-794907	60052.6	1738260	41729.2	79409.9	4	8	wilcoxon	E
YBL071C	YBL071C	0.0040404	0.0168086	-794518	150510	1857240	19692.3	66765.7	4	8	wilcoxon	E
YOR371C	GPB1	0.0040404	0.0168086	-793218	165283	1916510	11023.8	158768	4	8	wilcoxon	E
YML074C	FPR3	0.0040404	0.0168086	-789256	338973	2339420	116544	98465.1	4	8	wilcoxon	E
YHL023C	NPR3	0.0040404	0.0168086	-783579	35137.9	1642720	16980	160413	4	8	wilcoxon	E
YER030W	CHZ1	0.0040404	0.0168086	-780880	415612	2398430	41698.5	121302	4	8	wilcoxon	E
YPL137C	GIP3	0.0040404	0.0168086	-776881	186216	1913340	76738.7	142000	4	8	wilcoxon	E
YLR374C	YLR374C	0.0040404	0.0168086	-775928	124321	1828660	45137.2	88518.7	4	8	wilcoxon	E
YLR059C	REX2	0.0040404	0.0168086	-774326	145629	1915230	44883.1	155423	4	8	wilcoxon	E
YMR304W	UBP15	0.0040404	0.0168086	-772257	330424	2229720	23699	121504	4	8	wilcoxon	E
YER145C	FTR1	0.0040404	0.0168086	-769382	68411.9	1675160	21317.3	265984	4	8	wilcoxon	E
YPL004C	LSP1	0.0040404	0.0168086	-769343	354634	2309540	99885	84907.8	4	8	wilcoxon	E
YPR023C	EAF3	0.0040404	0.0168086	-766498	6192.3	1586020	11842.9	87947.7	4	8	wilcoxon	E
YBR261C	TAE1	0.0040404	0.0168086	-763859	279217	2069750	44160.3	196802	4	8	wilcoxon	E
YJL095W	BCK1	0.0040404	0.0168086	-763078	208355	2070170	63542.2	139960	4	8	wilcoxon	E
YPR119W	CLB2	1.05027e-13	8.89581e-11	-760174	175009	1890210	17527.7	32160.7	28	56	wilcoxon	E
YML090W	YML090W	0.0040404	0.0168086	-759801	53028.6	1638180	7288.71	84920.1	4	8	wilcoxon	E
YPL259C	APM1	0.0040404	0.0168086	-753835	103529	1687100	20334	168269	4	8	wilcoxon	E
YMR243C	ZRC1	0.0040404	0.0168086	-752297	223670	2041010	39381	171246	4	8	wilcoxon	E
YMR135W-A	YMR135W-A	0.0040404	0.0168086	-750567	294545	2091160	23100.6	136013	4	8	wilcoxon	E
YNL037C	IDH1	0.0040404	0.0168086	-748534	304753	2029850	73320.9	107343	4	8	wilcoxon	E
YIL017C	VID28	0.0040404	0.0168086	-741577	255846	1994370	44203.2	110994	4	8	wilcoxon	E
YDR305C	HNT2	0.0040404	0.0168086	-739230	293606	2124190	86514.4	140220	4	8	wilcoxon	E
YCR033W	SNT1	0.0040404	0.0168086	-738703	82215.3	1609310	13203.8	156610	4	8	wilcoxon	E
YPR201W	ARR3	0.0040404	0.0168086	-736227	350107	2198980	72868.9	106003	4	8	wilcoxon	E
YDR383C	NKP1	0.0040404	0.0168086	-735499	226779	1946580	30582.3	111813	4	8	wilcoxon	E
YJL092W	SRS2	0.0161616	0.0479303	-735283	333047	2255120	153175	231428	4	8	wilcoxon	E
YER129W	SAK1	0.0040404	0.0168086	-734684	419489	2323210	28197.1	126628	4	8	wilcoxon	E
YCR095C	OCA4	0.0040404	0.0168086	-730156	399575	2135000	61076.1	138795	4	8	wilcoxon	E
YDR121W	DPB4	0.153535	0.270475	-729568	37030.5	1821400	258174	141307	4	8	wilcoxon	E
YLR217W	YLR217W	0.0040404	0.0168086	-729334	668.66	1471550	5819.44	61578	4	8	wilcoxon	E
YOL044W	PEX15	0.0040404	0.0168086	-727902	57802.6	1670010	40195.7	88951.1	4	8	wilcoxon	E
YPL088W	YPL088W	0.0040404	0.0168086	-727801	313974	2082890	46642.9	233826	4	8	wilcoxon	E
YNL100W	MIC27	0.0040404	0.0168086	-727267	374047	2266770	72775.6	100145	4	8	wilcoxon	E
YPR174C	YPR174C	0.0040404	0.0168086	-725752	328827	2192750	128684	107033	4	8	wilcoxon	E
YNL273W	TOF1	0.20194	0.336633	-724789	2371.34	1405710	5252.22	255614	4	8	wilcoxon	E
YGR260W	TNA1	0.0040404	0.0168086	-724169	169363	1786600	23878.8	65695.2	4	8	wilcoxon	E
YIL035C	CKA1	0.0040404	0.0168086	-722422	180719	1866470	40999.3	146450	4	8	wilcoxon	E
YGR178C	PBP1	0.0040404	0.0168086	-721441	530045	2587630	127876	86546.5	4	8	wilcoxon	E
YBR164C	ARL1	0.0040404	0.0168086	-720251	84590.6	1609270	28668.4	117025	4	8	wilcoxon	E
YNR013C	PHO91	0.0040404	0.0168086	-720010	500027	2353860	67496.2	133301	4	8	wilcoxon	E
YDL106C	PHO2	0.0040404	0.0168086	-719219	176393	1824700	48465.6	82174.5	4	8	wilcoxon	E
YOR024W	YOR024W	0.0040404	0.0168086	-718421	233121	2020530	139222	84947.6	4	8	wilcoxon	E
YOR027W	STI1	0.0040404	0.0168086	-718248	6076	1445530	1740.87	104726	4	8	wilcoxon	E
YKL037W	AIM26	0.0040404	0.0168086	-714417	77872.4	1606120	13748.3	94370.5	4	8	wilcoxon	E
YGL049C	TIF4632	0.0040404	0.0168086	-714372	516790	2452710	91084.4	107324	4	8	wilcoxon	E
