R package version: 0.0-43
Summary type: mean
Test type: t-test
x-axis treatment: 20
x-axis medium: SDM_rhl_CNGT
x-axis screen ID: cSGA
x-axis screen name: cSGA
x-axis libraries: Boone Standard SDL
x-axis client: MS
x-axis user: SGA
x-axis date: 2009
x-axis PI: DAL
x-axis condition: 
x-axis inoculation type: DIL
x-axis fitness definition: K
y-axis treatment: 20
y-axis medium: SDM_rhl_CNGHT
y-axis screen ID: bir1-17
y-axis screen name: bir1-17
y-axis libraries: 
y-axis client: MS
y-axis user: AC
y-axis date: 2010
y-axis PI: DAL
y-axis condition: 
y-axis inoculation type: DIL
y-axis fitness definition: K
#########################################################
ORF	Gene	P	Q	GIS	QueryFitnessSummary	ControlFitnessSummary	QuerySE	ControlSE	QueryCount	ControlCount	TestType	Type
YCL032W	STE50	1.2023e-09	1.01835e-06	-604279	10332	596193	4656.32	17604.9	4	8	t-test	E
YDR318W	MCM21	1.89492e-08	8.91667e-06	-500865	137697	619427	12599.6	25406.9	4	8	t-test	E
YPL018W	CTF19	7.73208e-07	0.000218302	-486982	118964	587788	25153.3	22081.7	4	8	t-test	E
YPL181W	CTI6	8.91843e-07	0.000235348	-468739	334590	779256	26353.7	32823.2	4	8	t-test	E
YER016W	BIM1	0.00222152	0.0543529	-458102	39077.8	482281	9536.3	95053	4	8	t-test	E
YBR238C	YBR238C	1.18154e-06	0.000270946	-446276	184956	612316	23632	35090.8	4	8	t-test	E
YNL097C	PHO23	2.62806e-05	0.00258833	-414082	265930	659633	16723.8	46471.7	4	8	t-test	E
YHL027W	RIM101	5.30365e-09	2.80762e-06	-383290	231776	596634	12247.1	16159.6	4	8	t-test	E
YPL182C	YPL182C	1.27834e-06	0.000270946	-380420	344172	702879	20832.3	29796.5	4	8	t-test	E
YDL035C	GPR1	0.0969798	0.379935	-377325	169852	530779	161992	78440.6	4	8	t-test	E
YGL046W	YGL046W	0.00228917	0.0546839	-377118	272602	630249	49534.5	18195	4	8	t-test	E
YOR030W	DFG16	2.37442e-06	0.000457076	-357719	303127	641043	21226.9	29745.8	4	8	t-test	E
YOR275C	RIM20	3.14444e-09	1.90239e-06	-353671	238915	574828	5774.54	13888	4	8	t-test	E
YOR058C	ASE1	0.0468401	0.282365	-343709	130201	459708	113988	66568.4	4	8	t-test	E
YGR231C	PHB2	8.06316e-32	3.41475e-28	-340797	166205	491809	11600.4	12396.8	28	56	t-test	E
YNR041C	COQ2	2.80543e-07	8.48642e-05	-339249	3649.81	332623	1752.61	17755.5	4	8	t-test	E
YCL044C	MGR1	1.27955e-06	0.000270946	-339035	177564	501118	15298.7	27617.5	4	8	t-test	E
YGR122W	YGR122W	4.63608e-10	4.90845e-07	-337769	304743	623258	8135.31	8693.14	4	8	t-test	E
YPR052C	NHP6A	4.32729e-08	1.83261e-05	-337100	428283	742446	8324.64	18332.2	4	8	t-test	E
YBR095C	RXT2	1.55715e-05	0.00183182	-336406	176384	497423	17662.2	53024.5	8	16	t-test	E
YNL294C	RIM21	1.35768e-07	4.4229e-05	-331657	332724	644472	15290.7	16821.9	4	8	t-test	E
YBL025W	RRN10	0.0913558	0.369893	-331184	125757	443248	116641	127248	4	8	t-test	E
YMR263W	SAP30	0.000268118	0.0135176	-326365	271878	580315	31590.2	17620	4	8	t-test	E
YJR145C	RPS4A	0.000176325	0.0108727	-326196	209824	519957	19385.8	47686.3	4	8	t-test	E
YKL032C	IXR1	1.21438e-05	0.00149771	-319187	112812	419054	20080.4	33301	4	8	t-test	E
