R package version: 0.0-43
Summary type: median
Test type: wilcoxon
x-axis treatment: 27
x-axis medium: SDM_rhl_CNGT
x-axis screen ID: cSGA
x-axis screen name: cSGA
x-axis libraries: Boone Standard SDL
x-axis client: MS
x-axis user: SGA
x-axis date: 2009
x-axis PI: DAL
x-axis condition: 
x-axis inoculation type: DIL
x-axis fitness definition: K
y-axis treatment: 27
y-axis medium: SDM_rhl_CNGHT
y-axis screen ID: bir1-17
y-axis screen name: bir1-17
y-axis libraries: 
y-axis client: MS
y-axis user: AC
y-axis date: 2010
y-axis PI: DAL
y-axis condition: 
y-axis inoculation type: DIL
y-axis fitness definition: K
#########################################################
ORF	Gene	P	Q	GIS	QueryFitnessSummary	ControlFitnessSummary	QuerySE	ControlSE	QueryCount	ControlCount	TestType	Type
YCL032W	STE50	0.0040404	0.130619	-677425	33469.2	649315	8330.01	28558.2	4	8	wilcoxon	E
YOR058C	ASE1	0.0484848	0.412316	-641955	61020.2	646882	146737	81394.6	4	8	wilcoxon	E
YDL035C	GPR1	0.153535	0.592728	-590743	8658.7	559299	148539	74035.3	4	8	wilcoxon	E
YDR318W	MCM21	0.0040404	0.130619	-562321	185654	682529	3086.14	22800.1	4	8	wilcoxon	E
YER016W	BIM1	0.0040404	0.130619	-545026	73554.5	569594	5079.55	83710.5	4	8	wilcoxon	E
YNR041C	COQ2	0.0040404	0.130619	-503567	14364.3	469485	9146.9	21618.9	4	8	wilcoxon	E
YHL007C	STE20	0.266236	0.70499	-500342	1614.58	437967	596.839	103697	4	8	wilcoxon	E
YPL018W	CTF19	0.0040404	0.130619	-490073	188670	670585	35527.2	31497.1	4	8	wilcoxon	E
YEL061C	CIN8	0.0040404	0.130619	-477486	58936.6	491775	36260.9	44038.5	4	8	wilcoxon	E
YBL025W	RRN10	0.153535	0.592728	-421485	17904.8	619689	112262	125210	4	8	wilcoxon	E
YPL017C	IRC15	0.0040404	0.130619	-387972	356620	693516	12096.2	25392.8	4	8	wilcoxon	E
YDL118W	YDL118W	0.0040404	0.130619	-338925	459240	713138	21407.4	45079.6	4	8	wilcoxon	E
YMR198W	CIK1	0.0040404	0.130619	-311966	103503	387261	10908	24335.5	4	8	wilcoxon	E
YOL004W	SIN3	0.0040404	0.130619	-304287	55653.3	331141	6229.24	12201.7	4	8	wilcoxon	E
YDR126W	SWF1	0.0040404	0.130619	-301736	195678	467313	26112	30645.6	4	8	wilcoxon	E
YDR254W	CHL4	0.0040404	0.130619	-284512	537820	756571	34326.5	18059.4	4	8	wilcoxon	E
YGR157W	CHO2	0.0484848	0.412316	-264563	28760	272204	11789.5	52924.4	4	8	wilcoxon	E
YOR275C	RIM20	0.0040404	0.130619	-259475	351534	587327	17506.5	29765.9	4	8	wilcoxon	E
YGL046W	YGL046W	0.0040404	0.130619	-250240	410082	629392	36675.1	33914.4	4	8	wilcoxon	E
YBR222C	PCS60	0.0040404	0.130619	-249388	582035	755318	9013.67	17977.9	4	8	wilcoxon	E
YBR150C	TBS1	0.0161616	0.265289	-244944	532624	710213	72298	42064.2	4	8	wilcoxon	E
YOR030W	DFG16	0.0040404	0.130619	-242944	407445	579285	23060.6	39230.1	4	8	wilcoxon	E
YDL119C	YDL119C	0.0040404	0.130619	-241040	601987	740753	39699.7	24607.9	4	8	wilcoxon	E
YMR243C	ZRC1	0.0040404	0.130619	-240411	483162	660895	25561.1	35453.2	4	8	wilcoxon	E
YKR065C	PAM17	0.0040404	0.130619	-239292	475499	681167	33699.9	26288.3	4	8	wilcoxon	E
YLR418C	CDC73	0.0040404	0.130619	-238245	265463	458837	10223.8	23967.4	4	8	wilcoxon	E
YHL027W	RIM101	0.0040404	0.130619	-235617	394923	573049	7024.72	24597.6	4	8	wilcoxon	E
YFR011C	MIC19	0.0161616	0.265289	-233446	456380	648921	47259	16531.7	4	8	wilcoxon	E
YLL042C	ATG10	0.00808081	0.18399	-227947	515167	692525	42280.1	20092	4	8	wilcoxon	E
YKR019C	IRS4	0.00808081	0.18399	-226126	389741	578575	34416.3	43663.3	4	8	wilcoxon	E
YBR107C	IML3	0.0040404	0.130619	-223681	507379	692741	37768	22047.1	4	8	wilcoxon	E
YDL142C	CRD1	0.00808081	0.18399	-223345	329611	505571	26420.9	36026.1	4	8	wilcoxon	E
