R package version: 0.0-43
Summary type: mean
Test type: t-test
x-axis treatment: 20
x-axis medium: SDM_rhl_CNGT
x-axis screen ID: cSGA
x-axis screen name: cSGA
x-axis libraries: Boone Standard SDL
x-axis client: MS
x-axis user: SGA
x-axis date: 2009
x-axis PI: DAL
x-axis condition: 
x-axis inoculation type: DIL
x-axis fitness definition: MDP
y-axis treatment: 20
y-axis medium: SDM_rhl_CNGHT
y-axis screen ID: bir1-17
y-axis screen name: bir1-17
y-axis libraries: 
y-axis client: MS
y-axis user: AC
y-axis date: 2010
y-axis PI: DAL
y-axis condition: 
y-axis inoculation type: DIL
y-axis fitness definition: MDP
#########################################################
ORF	Gene	P	Q	GIS	QueryFitnessSummary	ControlFitnessSummary	QuerySE	ControlSE	QueryCount	ControlCount	TestType	Type
YNR041C	COQ2	0.0181118	0.157502	-7.99767	4.91703	11.4901	1.70384	0.0839778	4	8	t-test	E
YOL004W	SIN3	0.0399877	0.238518	-6.76412	5.7408	11.1255	1.94354	0.0484972	4	8	t-test	E
YPR024W	YME1	0.0267834	0.195228	-6.56741	4.78349	10.0988	1.67073	0.30053	4	8	t-test	E
YCL032W	STE50	0.00282726	0.0566652	-6.49623	7.39738	12.361	0.725563	0.0504174	4	8	t-test	E
YDL035C	GPR1	0.0777169	0.328884	-4.31538	8.97336	11.8229	1.68794	0.507467	4	8	t-test	E
YOR302W	YOR302W	0.190064	0.500885	-3.87715	4.18292	7.17097	1.39715	2.11362	4	8	t-test	E
YER016W	BIM1	0.000211618	0.0165963	-3.57698	9.67244	11.7879	0.405338	0.326131	4	8	t-test	E
YOR078W	BUD21	0.000264929	0.0184471	-3.39638	6.53469	8.83557	0.400006	0.341484	4	8	t-test	E
YGR259C	YGR259C	0.402333	0.67656	-3.34825	10.303	12.1454	3.44101	0.0647003	4	8	t-test	E
YCR081W	SRB8	0.212943	0.523172	-3.19397	4.66022	6.98779	1.61732	1.55412	4	8	t-test	E
YHL007C	STE20	0.255765	0.567696	-3.02848	5.28363	7.3952	0.257283	2.16926	4	8	t-test	E
YBL025W	RRN10	0.461657	0.716948	-2.80654	7.27426	8.96879	2.80869	2.00424	4	8	t-test	E
YKL212W	SAC1	0.253084	0.56521	-2.75135	6.61084	8.32945	0.818644	1.8647	4	8	t-test	E
YPL018W	CTF19	0.00301061	0.0584859	-2.48687	11.3373	12.2992	0.305666	0.057205	4	8	t-test	E
YMR202W	ERG2	0.386307	0.666942	-2.45323	4.86884	6.51438	1.62475	1.92521	4	8	t-test	E
YPL178W	CBC2	0.37521	0.655736	-2.41563	4.59614	6.2383	1.56263	1.84946	4	8	t-test	E
YJL204C	RCY1	0.413893	0.684167	-2.32764	6.56838	7.91469	1.85675	1.76183	4	8	t-test	E
YPL226W	NEW1	0.197301	0.507431	-2.29868	7.67063	8.8696	0.475106	1.39467	4	8	t-test	E
YDR318W	MCM21	4.8807e-05	0.00738207	-2.28205	11.6257	12.3736	0.137628	0.0612761	4	8	t-test	E
YEL061C	CIN8	0.139219	0.439631	-2.28181	10.6354	11.4923	1.14798	0.230502	4	8	t-test	E
YDR392W	SPT3	0.00559329	0.0822759	-2.24095	10.4314	11.2745	0.367456	0.111352	4	8	t-test	E
YGR157W	CHO2	0.20052	0.509419	-2.22765	7.96931	9.07213	0.473855	1.36046	4	8	t-test	E
YOR058C	ASE1	0.31906	0.616714	-2.21085	9.75234	10.6435	1.23294	1.5207	4	8	t-test	E
YIL084C	SDS3	1.97048e-06	0.000758636	-2.1743	10.9325	11.661	0.118059	0.0858085	4	8	t-test	E
YKL032C	IXR1	0.00359879	0.0632041	-1.99484	11.2723	11.8037	0.301822	0.107316	4	8	t-test	E
YGL127C	SOH1	0.000491679	0.0233118	-1.90903	9.50932	10.1588	0.245101	0.18914	4	8	t-test	E
YBR238C	YBR238C	0.000294985	0.0192188	-1.84238	12.0375	12.3488	0.175513	0.0848146	4	8	t-test	E
YAL013W	DEP1	0.000406514	0.0215198	-1.83852	11.4124	11.7892	0.164902	0.0641614	4	8	t-test	E
YMR198W	CIK1	0.000185698	0.0160628	-1.74722	11.1198	11.4476	0.177988	0.111962	4	8	t-test	E
YIL059C	YIL059C	0.384129	0.664266	-1.74206	12.2061	12.4095	1.71187	0.107002	4	8	t-test	E
YGR282C	BGL2	0.391432	0.668972	-1.74196	12.2828	12.4777	1.74314	0.0695757	4	8	t-test	E
YDL142C	CRD1	8.79118e-05	0.0106373	-1.73047	11.079	11.3965	0.174479	0.154078	4	8	t-test	E
