R package version: 0.0-43
Summary type: median
Test type: wilcoxon
x-axis treatment: 20
x-axis medium: SDM_rhl_CNGT
x-axis screen ID: cSGA
x-axis screen name: cSGA
x-axis libraries: Boone Standard SDL
x-axis client: MS
x-axis user: SGA
x-axis date: 2009
x-axis PI: DAL
x-axis condition: 
x-axis inoculation type: DIL
x-axis fitness definition: MDP
y-axis treatment: 20
y-axis medium: SDM_rhl_CNGHT
y-axis screen ID: bir1-17
y-axis screen name: bir1-17
y-axis libraries: 
y-axis client: MS
y-axis user: AC
y-axis date: 2010
y-axis PI: DAL
y-axis condition: 
y-axis inoculation type: DIL
y-axis fitness definition: MDP
#########################################################
ORF	Gene	P	Q	GIS	QueryFitnessSummary	ControlFitnessSummary	QuerySE	ControlSE	QueryCount	ControlCount	TestType	Type
YHL007C	STE20	0.549409	0.829951	-7.37446	5.30949	11.4152	0.257283	2.16926	4	8	wilcoxon	E
YNR041C	COQ2	0.0040404	0.0770771	-6.78381	6.06957	11.5219	1.70384	0.0839778	4	8	wilcoxon	E
YCL032W	STE50	0.0040404	0.0770771	-6.56194	7.33618	12.3254	0.725563	0.0504174	4	8	wilcoxon	E
YOR302W	YOR302W	0.387338	0.72327	-6.40481	5.47483	10.5055	1.39715	2.11362	4	8	wilcoxon	E
YDL035C	GPR1	0.153535	0.485966	-5.7734	7.89073	12.2819	1.68794	0.507467	4	8	wilcoxon	E
YPR024W	YME1	0.0040404	0.0770771	-5.47962	5.74684	10.2297	1.67073	0.30053	4	8	wilcoxon	E
YJL204C	RCY1	0.443898	0.760197	-5.26043	4.85138	10.1016	1.85675	1.76183	4	8	wilcoxon	E
YOL004W	SIN3	0.0040404	0.0770771	-5.18201	7.28394	11.089	1.94354	0.0484972	4	8	wilcoxon	E
YKL212W	SAC1	0.20194	0.556374	-4.93964	6.69325	10.1481	0.818644	1.8647	4	8	wilcoxon	E
YOR058C	ASE1	0.0484848	0.295869	-4.85466	8.74537	12.169	1.23294	1.5207	4	8	wilcoxon	E
YIL040W	APQ12	0.551518	0.829951	-4.68854	6.5298	10.7017	1.96038	1.89695	4	8	wilcoxon	E
YMR202W	ERG2	0.387338	0.72327	-4.42548	6.42677	9.49053	1.62475	1.92521	4	8	wilcoxon	E
YPL178W	CBC2	0.387338	0.72327	-4.09862	5.87966	8.91516	1.56263	1.84946	4	8	wilcoxon	E
YBL025W	RRN10	0.199557	0.556374	-3.97867	7.83236	12.3235	2.80869	2.00424	4	8	wilcoxon	E
YCR081W	SRB8	0.145986	0.485966	-3.93541	5.6282	8.8818	1.61732	1.55412	4	8	wilcoxon	E
YPL226W	NEW1	0.0727273	0.351598	-3.67259	7.7976	10.0304	0.475106	1.39467	4	8	wilcoxon	E
YER016W	BIM1	0.0040404	0.0770771	-3.6469	9.81623	11.9976	0.405338	0.326131	4	8	wilcoxon	E
YGR157W	CHO2	0.0484848	0.295869	-3.47749	7.84869	10.7232	0.473855	1.36046	4	8	wilcoxon	E
YPL180W	TCO89	0.349394	0.68777	-3.45846	7.18501	10.1005	1.12458	1.69333	4	8	wilcoxon	E
YOR078W	BUD21	0.0040404	0.0770771	-3.07802	6.677	8.57975	0.400006	0.341484	4	8	wilcoxon	E
YHR178W	STB5	0.549409	0.829951	-2.62555	6.5386	8.44678	0.768439	1.90173	4	8	wilcoxon	E
YPR141C	KAR3	0.20194	0.556374	-2.47423	6.66446	8.06754	0.814198	1.53457	4	8	wilcoxon	E
YPL018W	CTF19	0.0040404	0.0770771	-2.44361	11.3259	12.3056	0.305666	0.057205	4	8	wilcoxon	E
YDR318W	MCM21	0.0040404	0.0770771	-2.20126	11.6653	12.4005	0.137628	0.0612761	4	8	wilcoxon	E
YML013W	SEL1	0.214141	0.556374	-2.0819	10.373	10.8555	0.542765	1.44739	4	8	wilcoxon	E
YIL084C	SDS3	0.0040404	0.0770771	-2.07667	10.9169	11.6076	0.118059	0.0858085	4	8	wilcoxon	E
YDR392W	SPT3	0.0040404	0.0770771	-2.04268	10.61	11.2062	0.367456	0.111352	4	8	wilcoxon	E
YKL032C	IXR1	0.0040404	0.0770771	-1.85238	11.4439	11.831	0.301822	0.107316	4	8	wilcoxon	E
YLR087C	CSF1	0.551518	0.829951	-1.81822	8.77463	10.0047	1.55248	1.81479	4	8	wilcoxon	E
YBR238C	YBR238C	0.0040404	0.0770771	-1.81025	11.9596	12.3894	0.175513	0.0848146	4	8	wilcoxon	E
YAL013W	DEP1	0.0040404	0.0770771	-1.80617	11.3985	11.8086	0.164902	0.0641614	4	8	wilcoxon	E
YGL127C	SOH1	0.0040404	0.0770771	-1.7428	9.70236	10.0954	0.245101	0.18914	4	8	wilcoxon	E
YOL064C	MET22	0.549409	0.829951	-1.72766	7.10172	7.81098	0.281652	1.97971	4	8	wilcoxon	E
