R package version: 0.0-43
Summary type: mean
Test type: t-test
x-axis treatment: 20
x-axis medium: SDM_rhl_CNGT
x-axis screen ID: cSGA
x-axis screen name: cSGA
x-axis libraries: Boone Standard SDL
x-axis client: MS
x-axis user: SGA
x-axis date: 2009
x-axis PI: DAL
x-axis condition: 
x-axis inoculation type: DIL
x-axis fitness definition: MDRMDP
y-axis treatment: 20
y-axis medium: SDM_rhl_CNGHT
y-axis screen ID: bir1-17
y-axis screen name: bir1-17
y-axis libraries: 
y-axis client: MS
y-axis user: AC
y-axis date: 2010
y-axis PI: DAL
y-axis condition: 
y-axis inoculation type: DIL
y-axis fitness definition: MDRMDP
#########################################################
ORF	Gene	P	Q	GIS	QueryFitnessSummary	ControlFitnessSummary	QuerySE	ControlSE	QueryCount	ControlCount	TestType	Type
YCL032W	STE50	1.39061e-08	1.96307e-05	-61.9278	7.67696	63.7957	1.21995	0.771601	4	8	t-test	E
YNR041C	COQ2	2.09385e-10	4.43373e-07	-55.1584	3.48569	53.7498	1.21543	1.22732	4	8	t-test	E
YDL035C	GPR1	0.0703305	0.35929	-40.8784	20.6397	56.384	15.4056	5.04777	4	8	t-test	E
YOL004W	SIN3	0.00225353	0.059437	-37.2852	12.4142	45.5516	4.67661	1.43298	4	8	t-test	E
YKL212W	SAC1	0.0112764	0.151605	-36.3667	4.67818	37.6194	0.626299	9.77772	4	8	t-test	E
YPR024W	YME1	2.30117e-07	0.000108283	-35.8523	4.03007	36.5539	1.51628	2.26842	4	8	t-test	E
YER016W	BIM1	1.73701e-05	0.00350297	-34.2688	26.3752	55.5828	2.70513	3.16822	4	8	t-test	E
YOR302W	YOR302W	0.0189621	0.19073	-33.2667	2.92571	33.1719	0.977735	10.0485	4	8	t-test	E
YHL007C	STE20	0.0203113	0.19516	-32.2454	4.25927	33.4581	0.637234	9.89588	4	8	t-test	E
YDR318W	MCM21	2.58999e-08	2.19372e-05	-30.4632	40.3856	64.9359	0.907729	1.53765	4	8	t-test	E
YOR058C	ASE1	0.0909161	0.398582	-30.2658	27.7913	53.2118	12.4158	7.62469	4	8	t-test	E
YPL018W	CTF19	0.000364567	0.0197941	-28.8096	38.4945	61.687	2.98206	1.57972	4	8	t-test	E
YBR238C	YBR238C	2.53771e-06	0.000895599	-25.477	43.1435	62.8936	1.43188	1.06861	4	8	t-test	E
YOL064C	MET22	0.070331	0.35929	-25.2261	10.7026	32.9302	1.11786	10.8233	4	8	t-test	E
YMR202W	ERG2	0.0260286	0.218713	-24.2032	3.68522	25.561	1.25476	7.88355	4	8	t-test	E
YOR078W	BUD21	2.25743e-05	0.00415662	-23.6439	6.73592	27.8444	1.32973	2.53111	4	8	t-test	E
YIL040W	APQ12	0.248516	0.598702	-23.5989	19.5338	39.533	15.1337	9.72662	4	8	t-test	E
YPL226W	NEW1	0.0170203	0.182483	-23.1194	12.8715	32.9872	1.29996	6.81722	4	8	t-test	E
YCR081W	SRB8	0.00825625	0.127942	-22.9965	3.28954	24.0923	1.1496	5.8167	4	8	t-test	E
YDR392W	SPT3	0.000529118	0.0238385	-22.4793	29.3169	47.4734	2.41637	1.18935	4	8	t-test	E
YKL032C	IXR1	0.00136545	0.0448271	-22.1838	37.7129	54.8979	2.56413	0.917165	4	8	t-test	E
YIL084C	SDS3	1.27876e-07	8.29312e-05	-21.9599	35.8586	52.9931	0.901314	1.29489	4	8	t-test	E
YGR157W	CHO2	0.021007	0.196824	-21.9195	18.4486	36.9991	3.32944	6.57591	4	8	t-test	E
YPL178W	CBC2	0.0258022	0.218545	-21.4956	3.42444	22.8403	1.14362	6.98642	4	8	t-test	E
YGR231C	PHB2	9.93496e-21	4.20745e-17	-20.3182	41.1008	56.2931	1.06248	0.54196	28	56	t-test	E
YCL044C	MGR1	1.52085e-05	0.00322039	-20.1354	45.7842	60.4182	0.944194	2.03755	4	8	t-test	E
YMR198W	CIK1	3.18119e-06	0.00103634	-19.5741	36.3728	51.2777	1.29562	1.39134	4	8	t-test	E
YEL061C	CIN8	0.164782	0.508716	-19.4606	34.4521	49.4133	10.6767	2.26786	4	8	t-test	E
YHL027W	RIM101	1.37076e-07	8.29312e-05	-19.4581	49.3182	63.0364	0.739256	1.1729	4	8	t-test	E
YAL013W	DEP1	0.000162955	0.0125476	-18.7606	39.9275	53.7902	1.73112	0.989201	4	8	t-test	E
YPL180W	TCO89	0.0401832	0.274477	-18.5813	13.6317	29.5245	1.51753	6.74703	4	8	t-test	E
YGL046W	YGL046W	0.0137455	0.164192	-18.1441	51.5213	63.8513	3.65928	0.689753	4	8	t-test	E
YHR178W	STB5	0.113039	0.428353	-18.0079	8.18992	24.0114	3.02665	8.88631	4	8	t-test	E
YLR087C	CSF1	0.249399	0.599293	-17.8905	20.083	34.8043	10.7078	8.75035	4	8	t-test	E
YPL181W	CTI6	2.48813e-05	0.00421489	-17.8583	57.3016	68.8873	1.46158	1.16697	4	8	t-test	E
YKR065C	PAM17	0.000422666	0.0213576	-17.7712	43.3327	56.0043	1.60825	0.643877	4	8	t-test	E
YBR231C	SWC5	0.00225959	0.059437	-17.7408	33.9332	47.3614	2.74558	3.01026	4	8	t-test	E
YIL059C	YIL059C	0.373765	0.701984	-17.1786	53.6681	64.934	16.4507	1.46846	4	8	t-test	E
YML013W	SEL1	0.102221	0.414873	-16.7466	29.0655	41.9888	3.88053	7.68668	4	8	t-test	E
YNL097C	PHO23	4.05845e-05	0.00538088	-16.5698	49.7189	60.7564	1.02064	1.9058	4	8	t-test	E
YDL142C	CRD1	0.000604145	0.0261077	-16.4193	39.4269	51.1855	1.6893	0.727664	4	8	t-test	E
YOR303W	CPA1	0.0925662	0.401658	-16.0092	4.75076	19.0274	0.448801	7.53175	4	8	t-test	E
YJR145C	RPS4A	3.77998e-05	0.00533607	-15.5762	47.8323	58.1166	1.37418	1.52733	4	8	t-test	E
YGL045W	RIM8	0.000696996	0.0292255	-15.2096	54.3847	63.7861	2.0321	2.0369	4	8	t-test	E
YOR275C	RIM20	6.33581e-06	0.00191658	-15.0579	51.8114	61.2886	1.01826	1.29812	4	8	t-test	E
YGR282C	BGL2	0.438734	0.746553	-15.0059	54.3882	63.6026	16.7997	1.79762	4	8	t-test	E
YLR193C	UPS1	0.000235978	0.0156151	-14.657	35.8594	46.3004	1.64359	1.21307	4	8	t-test	E
YKR016W	MIC60	0.00153976	0.0487568	-14.57	40.9063	50.8464	2.08514	1.15538	4	8	t-test	E
YPR153W	YPR153W	0.000147844	0.0118136	-14.3991	29.9396	40.6383	1.54573	1.27738	4	8	t-test	E
YJL204C	RCY1	0.293364	0.64359	-14.3571	19.3891	30.9298	9.67587	7.50046	4	8	t-test	E
YGR259C	YGR259C	0.45154	0.757456	-14.2935	48.8171	57.8435	16.5165	1.65262	4	8	t-test	E
YHR158C	KEL1	0.388381	0.70988	-14.2803	47.8084	56.907	14.1095	2.26652	4	8	t-test	E
YGL127C	SOH1	0.000104164	0.0100258	-14.279	27.7517	38.5229	1.41437	1.61935	4	8	t-test	E
YDL119C	YDL119C	0.00725363	0.117698	-14.2063	54.4444	62.9213	2.78897	1.34187	4	8	t-test	E
YGR122W	YGR122W	4.06584e-05	0.00538088	-14.1882	54.1026	62.5914	1.16276	0.808328	4	8	t-test	E
YOR354C	MSC6	6.96766e-05	0.00756616	-14.0116	52.0923	60.5871	1.36957	1.26557	4	8	t-test	E
YMR126C	DLT1	0.27187	0.620349	-13.9829	51.085	59.6375	10.2028	3.67888	4	8	t-test	E
YOR030W	DFG16	0.00129715	0.0432553	-13.969	55.0108	63.2229	1.67796	0.676754	4	8	t-test	E
YMR086C-A	YMR086C-A	0.429641	0.739749	-13.8888	55.956	64.0158	15.2425	0.782126	4	8	t-test	E
YLR055C	SPT8	9.79188e-06	0.0024488	-13.7677	45.3531	54.1867	0.650243	1.32733	4	8	t-test	E
YMR263W	SAP30	0.000338553	0.0197941	-13.5245	51.0155	59.1537	1.60544	1.17555	4	8	t-test	E
YDR336W	YDR336W	3.30879e-05	0.00500455	-13.4141	57.1125	64.6407	1.17452	1.01835	4	8	t-test	E
YPL182C	YPL182C	0.00011261	0.0103675	-13.2507	58.9119	66.1401	1.2236	1.63456	4	8	t-test	E
YMR154C	RIM13	0.000139558	0.0115888	-13.2493	55.7431	63.2344	1.41382	1.18534	4	8	t-test	E
YOR350C	MNE1	0.000335184	0.0197941	-12.8797	48.7142	56.4535	1.49651	1.68263	4	8	t-test	E
