R package version: 0.0-43
Summary type: median
Test type: wilcoxon
x-axis treatment: 20
x-axis medium: SDM_rhl_CNGT
x-axis screen ID: cSGA
x-axis screen name: cSGA
x-axis libraries: Boone Standard SDL
x-axis client: MS
x-axis user: SGA
x-axis date: 2009
x-axis PI: DAL
x-axis condition: 
x-axis inoculation type: DIL
x-axis fitness definition: MDR
y-axis treatment: 20
y-axis medium: SDM_rhl_CNGHT
y-axis screen ID: bir1-17
y-axis screen name: bir1-17
y-axis libraries: 
y-axis client: MS
y-axis user: AC
y-axis date: 2010
y-axis PI: DAL
y-axis condition: 
y-axis inoculation type: DIL
y-axis fitness definition: MDR
#########################################################
ORF	Gene	P	Q	GIS	QueryFitnessSummary	ControlFitnessSummary	QuerySE	ControlSE	QueryCount	ControlCount	TestType	Type
YDL035C	GPR1	0.0484848	0.364066	-3.97144	0.716961	5.02139	1.02416	0.295403	4	8	wilcoxon	E
YNR041C	COQ2	0.0040404	0.113319	-3.96559	0.703581	4.72345	0.176965	0.0821565	4	8	wilcoxon	E
YCL032W	STE50	0.0040404	0.113319	-3.95808	1.02096	5.18529	0.191762	0.0503225	4	8	wilcoxon	E
YKL212W	SAC1	0.20194	0.643184	-3.41348	0.709534	3.87171	0.00837644	0.789878	4	8	wilcoxon	E
YOR302W	YOR302W	0.387338	0.823482	-3.38852	0.697825	4.10398	0.174844	0.851293	4	8	wilcoxon	E
YHL007C	STE20	0.549409	0.89127	-3.28144	0.699287	4.18253	0.112104	0.831877	4	8	wilcoxon	E
YPR024W	YME1	0.0040404	0.113319	-2.84158	0.704566	3.66216	0.23235	0.132468	4	8	wilcoxon	E
YIL040W	APQ12	0.551518	0.89127	-2.75912	0.760821	4.16897	1.00798	0.788128	4	8	wilcoxon	E
YPL178W	CBC2	0.387338	0.823482	-2.75291	0.710314	3.24827	0.189868	0.673582	4	8	wilcoxon	E
YMR202W	ERG2	0.387338	0.823482	-2.68919	0.709177	3.36941	0.191858	0.724713	4	8	wilcoxon	E
YCR081W	SRB8	0.145986	0.57849	-2.45753	0.69932	3.18566	0.176205	0.583399	4	8	wilcoxon	E
YOL064C	MET22	0.549409	0.89127	-2.36064	1.56871	3.62353	0.104569	1.16887	4	8	wilcoxon	E
YOR058C	ASE1	0.109091	0.509372	-2.29466	2.44951	4.95094	0.825606	0.626952	4	8	wilcoxon	E
YOL004W	SIN3	0.0040404	0.113319	-2.05358	1.93308	4.1249	0.567669	0.121734	4	8	wilcoxon	E
