R package version: 0.0-43
Summary type: mean
Test type: t-test
x-axis treatment: 27
x-axis medium: SDM_rhl_CNGT
x-axis screen ID: cSGA
x-axis screen name: cSGA
x-axis libraries: Boone Standard SDL
x-axis client: MS
x-axis user: SGA
x-axis date: 2009
x-axis PI: DAL
x-axis condition: 
x-axis inoculation type: DIL
x-axis fitness definition: MDR
y-axis treatment: 27
y-axis medium: SDM_rhl_CNGHT
y-axis screen ID: bir1-17
y-axis screen name: bir1-17
y-axis libraries: 
y-axis client: MS
y-axis user: AC
y-axis date: 2010
y-axis PI: DAL
y-axis condition: 
y-axis inoculation type: DIL
y-axis fitness definition: MDR
#########################################################
ORF	Gene	P	Q	GIS	QueryFitnessSummary	ControlFitnessSummary	QuerySE	ControlSE	QueryCount	ControlCount	TestType	Type
YNR041C	COQ2	0.00984508	0.080934	-6.87563	1.63881	8.31788	1.18433	0.103261	4	8	t-test	E
YPR024W	YME1	1.50948e-09	2.77941e-07	-6.15123	0.521358	6.51854	0.174012	0.201943	4	8	t-test	E
YKL212W	SAC1	6.17749e-05	0.00416052	-5.99799	0.526578	6.37394	0.175612	0.729695	4	8	t-test	E
YCL032W	STE50	0.00590674	0.0660027	-5.61129	3.22285	8.63019	0.836618	0.137728	4	8	t-test	E
YOR302W	YOR302W	0.00540722	0.0636099	-4.9536	0.686389	5.50978	0.00760503	1.21963	4	8	t-test	E
YHL007C	STE20	0.0217213	0.121841	-4.31609	0.660126	4.86134	0.250432	1.43461	4	8	t-test	E
YCR081W	SRB8	0.00344041	0.0535667	-4.19504	0	4.0982	0	0.946599	4	8	t-test	E
YPR141C	KAR3	0.00121517	0.0360477	-4.13831	1.56038	5.56713	0.532977	0.276637	4	8	t-test	E
YDL035C	GPR1	0.111484	0.275619	-3.90785	3.41191	7.15077	1.7527	1.0349	4	8	t-test	E
YEL061C	CIN8	0.072722	0.221567	-3.81914	4.07333	7.71026	1.41525	0.174676	4	8	t-test	E
YBL025W	RRN10	0.123413	0.294453	-3.72264	3.46977	7.02636	1.7085	1.15149	4	8	t-test	E
YOR303W	CPA1	0.0198889	0.116019	-3.60462	0.356062	3.86924	0.205577	1.1738	4	8	t-test	E
YER016W	BIM1	7.29957e-08	1.10406e-05	-3.07757	5.33112	8.21456	0.106255	0.185077	4	8	t-test	E
YOR058C	ASE1	0.213156	0.397498	-2.95666	4.75283	7.53151	1.7811	1.07897	4	8	t-test	E
YPR069C	SPE3	0.0038402	0.0550443	-2.93923	1.74347	4.57459	0.527032	0.350572	4	8	t-test	E
YOL004W	SIN3	1.13622e-05	0.000962379	-2.84687	4.42769	7.10662	0.212397	0.18868	4	8	t-test	E
YDR318W	MCM21	1.94208e-06	0.000234991	-2.64983	6.28333	8.72692	0.15861	0.146267	4	8	t-test	E
YOL052C	SPE2	0.0253967	0.131	-2.58771	1.44939	3.94389	0.694807	0.611616	4	8	t-test	E
YMR198W	CIK1	3.4472e-06	0.00037433	-2.20344	5.58462	7.60826	0.141234	0.128293	4	8	t-test	E
YDR126W	SWF1	0.00890065	0.0770843	-2.14408	6.0107	7.96652	0.381254	0.0905722	4	8	t-test	E
YIL059C	YIL059C	0.379226	0.55808	-2.10164	6.81474	8.71053	2.03954	0.186548	4	8	t-test	E
YPL018W	CTF19	0.000768179	0.0260259	-2.06645	6.65842	8.52345	0.256937	0.15346	4	8	t-test	E
YJR109C	CPA2	0.230292	0.415173	-1.96478	4.27991	6.10052	1.43941	0.487462	8	16	t-test	E
YDR245W	MNN10	0.00377132	0.0546971	-1.96203	4.78705	6.59326	0.213823	0.454338	4	8	t-test	E
YDR392W	SPT3	0.00985545	0.080934	-1.91036	5.67262	7.40791	0.359983	0.101312	4	8	t-test	E
YHR158C	KEL1	0.397576	0.574065	-1.91026	6.52873	8.24417	1.9381	0.166664	4	8	t-test	E
YMR086C-A	YMR086C-A	0.419491	0.591324	-1.8942	6.78059	8.47452	2.02811	0.115121	4	8	t-test	E
YDR410C	STE14	0.146752	0.323526	-1.72248	0.357764	2.03222	0.206556	1.02048	4	8	t-test	E
YDL118W	YDL118W	1.22093e-05	0.00101385	-1.62125	7.21494	8.6322	0.0774233	0.170886	4	8	t-test	E
YJL204C	RCY1	0.140452	0.316428	-1.46095	5.07863	6.3886	0.733442	0.357923	4	8	t-test	E
YBR231C	SWC5	0.00290788	0.0486753	-1.41014	6.6016	7.82678	0.227186	0.26545	4	8	t-test	E
YLR182W	SWI6	0.215405	0.399911	-1.38923	0.700239	2.04123	0.00404714	0.996442	4	8	t-test	E
YLR193C	UPS1	0.000280855	0.0139045	-1.38536	5.40428	6.6329	0.146359	0.202311	4	8	t-test	E
YBR238C	YBR238C	3.15899e-05	0.00224799	-1.37726	7.59921	8.76924	0.106745	0.157078	4	8	t-test	E
YGR188C	BUB1	0.00158678	0.0403608	-1.34391	5.02149	6.21845	0.149076	0.266437	4	8	t-test	E
YBR222C	PCS60	0.000546911	0.0215293	-1.33723	8.08662	9.20629	0.102758	0.23095	4	8	t-test	E
YBR093C	PHO5	0.0106334	0.0840157	-1.32613	5.9631	7.12095	0.106819	0.376799	4	8	t-test	E
YDR254W	CHL4	8.17773e-06	0.000721514	-1.31893	7.67344	8.78477	0.0932001	0.122907	4	8	t-test	E
YPL017C	IRC15	3.42031e-05	0.00237459	-1.2874	7.54578	8.62926	0.067607	0.153745	4	8	t-test	E
YCL037C	SRO9	0.324575	0.509291	-1.28636	1.02117	2.25426	0.322442	1.15488	4	8	t-test	E
YDL119C	YDL119C	0.000860881	0.0278308	-1.27401	7.68505	8.75223	0.173493	0.124199	4	8	t-test	E
YCR033W	SNT1	7.12568e-05	0.00464266	-1.25717	6.76927	7.84113	0.121913	0.136063	4	8	t-test	E
YIL084C	SDS3	6.62984e-05	0.00438709	-1.24148	6.69334	7.75163	0.114634	0.144654	4	8	t-test	E
YBR212W	NGR1	0.00252939	0.0453568	-1.22428	8.12556	9.13399	0.169423	0.249242	4	8	t-test	E
YDR207C	UME6	0.0588994	0.198661	-1.21537	5.69721	6.753	0.112044	0.523384	4	8	t-test	E
YDR162C	NBP2	0.00337322	0.0530332	-1.18029	7.48546	8.46569	0.209225	0.189163	4	8	t-test	E
YGR157W	CHO2	0.285382	0.470588	-1.17478	5.04121	6.07249	0.448993	0.913505	4	8	t-test	E
YAL013W	DEP1	0.00526113	0.0629403	-1.16665	6.73391	7.71816	0.226535	0.180207	4	8	t-test	E
YBR207W	FTH1	0.0028139	0.0480518	-1.16449	8.34282	9.28782	0.187389	0.216852	4	8	t-test	E
YCR086W	CSM1	1.76207e-05	0.00138192	-1.15421	6.5345	7.5112	0.0924624	0.111106	4	8	t-test	E
YCR028C-A	RIM1	0.000587777	0.0222253	-1.14702	6.79332	7.75703	0.124765	0.191274	4	8	t-test	E
YBR178W	YBR178W	0.00383873	0.0550443	-1.14411	8.42777	9.3509	0.203123	0.205083	4	8	t-test	E
YBR221C	PDB1	0.000728879	0.0255536	-1.1295	7.47186	8.40279	0.0624599	0.201554	4	8	t-test	E
YLR065C	ENV10	0.670937	0.785356	-1.11358	4.40534	5.39151	2.14925	1.18909	4	8	t-test	E
YBR150C	TBS1	0.00562491	0.0647538	-1.111	7.8702	8.77385	0.207899	0.220094	4	8	t-test	E
