R package version: 0.0-43
Summary type: median
Test type: wilcoxon
x-axis treatment: 37
x-axis medium: SDM_rhl_CNGT
x-axis screen ID: cSGA
x-axis screen name: cSGA
x-axis libraries: Boone Standard SDL
x-axis client: MS
x-axis user: SGA
x-axis date: 2009
x-axis PI: DAL
x-axis condition: 
x-axis inoculation type: DIL
x-axis fitness definition: K
y-axis treatment: 37
y-axis medium: SDM_rhl_CNGHT
y-axis screen ID: bir1-17
y-axis screen name: bir1-17
y-axis libraries: 
y-axis client: MS
y-axis user: AC
y-axis date: 2010
y-axis PI: DAL
y-axis condition: 
y-axis inoculation type: DIL
y-axis fitness definition: K
#########################################################
ORF	Gene	P	Q	GIS	QueryFitnessSummary	ControlFitnessSummary	QuerySE	ControlSE	QueryCount	ControlCount	TestType	Type
YOR349W	CIN1	0.0040404	0.0188864	-555523	10428.7	698601	4950.49	37615.1	4	8	wilcoxon	E
YJR135C	MCM22	0.0040404	0.0188864	-492082	1572.3	609358	1186.51	30660.8	4	8	wilcoxon	E
YML124C	TUB3	0.0040404	0.0188864	-491243	4128.98	616905	8386.06	19239.1	4	8	wilcoxon	E
YBL025W	RRN10	0.549409	0.687957	-490605	10523.9	621686	1316.05	129355	4	8	wilcoxon	E
YDR254W	CHL4	0.00836037	0.0316127	-487424	2192.75	605805	13804.2	38107.6	4	8	wilcoxon	E
YCL032W	STE50	0.0040404	0.0188864	-467039	15723	596833	4849.92	39126.8	4	8	wilcoxon	E
YFR046C	CNN1	0.0040404	0.0188864	-448358	8183.25	564744	1980.52	21719.5	4	8	wilcoxon	E
YLR381W	CTF3	0.0040404	0.0188864	-444284	4912.2	565404	5462.65	35328.7	4	8	wilcoxon	E
YGL217C	YGL217C	1.05027e-13	1.11198e-10	-441082	28569	594553	10418.6	10548.4	28	56	wilcoxon	E
YPR046W	MCM16	0.0040404	0.0188864	-437732	1887.3	545034	6190.36	63621.3	4	8	wilcoxon	E
YLR412W	BER1	0.0040404	0.0188864	-428569	18153.5	559586	8666.21	29713.3	4	8	wilcoxon	E
YER177W	BMH1	0.0040404	0.0188864	-428215	3059.1	532465	315.614	23146.1	4	8	wilcoxon	E
YAL056W	GPB2	0.0040404	0.0188864	-427933	17521.5	550924	1488.56	59434.2	4	8	wilcoxon	E
YOR195W	SLK19	0.0040404	0.0188864	-423136	67299.9	613546	12932.5	29286.9	4	8	wilcoxon	E
YPL253C	VIK1	0.0040404	0.0188864	-421316	38848.9	595720	48907.1	40401.9	4	8	wilcoxon	E
YER007W	PAC2	0.0040404	0.0188864	-416263	35344	560055	10778.7	25790.5	4	8	wilcoxon	E
YDR318W	MCM21	0.0040404	0.0188864	-415781	3782.25	522796	5381.8	26471.6	4	8	wilcoxon	E
YGL216W	KIP3	0.0040404	0.0188864	-410952	3594.5	513133	1294.68	34187.2	4	8	wilcoxon	E
YPL017C	IRC15	0.0334416	0.092144	-408395	3815.42	597142	103734	33121	4	8	wilcoxon	E
YCR082W	AHC2	0.0040404	0.0188864	-406613	32825.8	546874	6115.61	17247	4	8	wilcoxon	E
YBR107C	IML3	0.0040404	0.0188864	-404587	1772.55	501197	622.385	21606	4	8	wilcoxon	E
YJL187C	SWE1	0.0040404	0.0188864	-399409	19403.5	522074	12166.7	27869.2	4	8	wilcoxon	E
YPL018W	CTF19	0.0040404	0.0188864	-397246	5727.57	501367	11811.3	18537.1	4	8	wilcoxon	E
YKL025C	PAN3	0.0040404	0.0188864	-396981	212940	759346	14233.9	31574.3	4	8	wilcoxon	E
YGL086W	MAD1	0.0040404	0.0188864	-395291	90298.5	594171	11518.8	26987.3	4	8	wilcoxon	E
YCR065W	HCM1	0.0040404	0.0188864	-394791	25045.5	542458	16090.6	30320.6	4	8	wilcoxon	E
YHR030C	SLT2	0.0040404	0.0188864	-393897	54519	567465	22110.9	25758.1	4	8	wilcoxon	E
YOR066W	MSA1	0.153535	0.278587	-389124	37399.9	564786	123539	28780.6	4	8	wilcoxon	E
YOR023C	AHC1	0.0040404	0.0188864	-388914	33183.5	529620	6809.54	17169.2	4	8	wilcoxon	E
YGL115W	SNF4	0.0040404	0.0188864	-386635	2926.47	481046	356.577	52012.1	4	8	wilcoxon	E
YML022W	APT1	0.214141	0.350827	-385437	51129.5	553900	178712	29940	4	8	wilcoxon	E
YHR199C	AIM46	0.0040404	0.0188864	-382929	73483.6	584157	23198.3	31152.2	4	8	wilcoxon	E
YER167W	BCK2	0.0040404	0.0188864	-379953	153720	667562	16233.7	32496.5	4	8	wilcoxon	E
YOR109W	INP53	0.0040404	0.0188864	-378661	59320	538830	18339.4	24146.7	4	8	wilcoxon	E
YDR014W	RAD61	0.214141	0.350827	-377506	30316	518827	166305	33976.7	4	8	wilcoxon	E
YJL188C	BUD19	0.0040404	0.0188864	-371834	21028.1	482019	3731.3	26675.8	4	8	wilcoxon	E
YGR071C	ENV11	0.0040404	0.0188864	-366884	156403	659667	43221	26704.5	4	8	wilcoxon	E
YOR135C	IRC14	0.0040404	0.0188864	-365716	24110.5	481196	2404.21	36620.4	4	8	wilcoxon	E
YIL097W	FYV10	0.0040404	0.0188864	-365592	71462.5	569723	27479.9	36398.7	4	8	wilcoxon	E
YPL036W	PMA2	0.0040404	0.0188864	-365530	94407.6	604790	35264.8	49979.8	4	8	wilcoxon	E
YPL051W	ARL3	0.0040404	0.0188864	-364927	52456	519407	15432.5	18437.4	4	8	wilcoxon	E
YBR245C	ISW1	0.0040404	0.0188864	-363974	38252.5	510325	9733.15	19989.1	4	8	wilcoxon	E
YGR040W	KSS1	0.0040404	0.0188864	-358252	121755	592513	19867	33365.1	4	8	wilcoxon	E
YOL068C	HST1	0.214141	0.350827	-356357	48722	500023	153941	26694.8	4	8	wilcoxon	E
YOR058C	ASE1	0.109091	0.21731	-355874	12002.9	479936	110040	61745.3	4	8	wilcoxon	E
YGL094C	PAN2	0.0040404	0.0188864	-354365	269696	760883	75456.3	25892.6	4	8	wilcoxon	E
YLR095C	IOC2	0.0040404	0.0188864	-354132	50377.5	499320	9675.72	31162.9	4	8	wilcoxon	E
YDR477W	SNF1	0.0040404	0.0188864	-348756	17269.4	449892	1636.47	41343.8	4	8	wilcoxon	E
YPL184C	MRN1	0.0040404	0.0188864	-345940	30936	476286	17975.8	21121.9	4	8	wilcoxon	E
YLR183C	TOS4	0.0040404	0.0188864	-345381	154995	615714	13856.2	39044	4	8	wilcoxon	E
YHL023C	NPR3	0.0040404	0.0188864	-343269	17834.5	451773	8767.78	41869.7	4	8	wilcoxon	E
YOR136W	IDH2	0.00808081	0.0308865	-342892	113623	565482	76338.2	21377.9	4	8	wilcoxon	E
YOR371C	GPB1	0.0040404	0.0188864	-341583	91835.5	535005	6481.15	41348.9	4	8	wilcoxon	E
YPR023C	EAF3	0.0040404	0.0188864	-338793	7154.83	438777	7096.01	24892.7	4	8	wilcoxon	E
YPR068C	HOS1	0.0040404	0.0188864	-338082	149192	619321	23045	33191.9	4	8	wilcoxon	E
YIL058W	YIL058W	0.00808081	0.0308865	-337836	111624	574796	82158.1	49133.9	4	8	wilcoxon	E
YLR217W	YLR217W	0.0040404	0.0188864	-337384	2813.4	420295	1826.85	16966.9	4	8	wilcoxon	E
YLR374C	YLR374C	0.0040404	0.0188864	-336827	61662	495314	22519.8	22469.6	4	8	wilcoxon	E
YER030W	CHZ1	0.0040404	0.0188864	-336420	190078	656114	20700.4	30643	4	8	wilcoxon	E
YER145C	FTR1	0.00808081	0.0308865	-335589	39619.5	463151	12399.4	71978.3	4	8	wilcoxon	E
YML074C	FPR3	0.0040404	0.0188864	-335390	176004	649177	49663.8	26452.9	4	8	wilcoxon	E
YMR304W	UBP15	0.0040404	0.0188864	-334579	163817	609404	8524.58	32180.5	4	8	wilcoxon	E
YJL095W	BCK1	0.0040404	0.0188864	-334406	94164.9	565808	27193.4	35719.9	4	8	wilcoxon	E
YOL119C	MCH4	0.0040404	0.0188864	-334099	161388	612685	37936.2	21598.3	4	8	wilcoxon	E
YOR129C	AFI1	0.0040404	0.0188864	-331126	149227	605567	19862.9	26734.6	4	8	wilcoxon	E
YML090W	YML090W	0.0040404	0.0188864	-329655	32059	446494	3158.51	22315.7	4	8	wilcoxon	E
YMR243C	ZRC1	0.0040404	0.0188864	-329468	115850	566044	20190.1	46778.3	4	8	wilcoxon	E
YPL137C	GIP3	0.0040404	0.0188864	-329434	112369	528306	37442.1	37018.4	4	8	wilcoxon	E
YPL259C	APM1	0.0040404	0.0188864	-329016	63471.5	468262	11875.2	45341.2	4	8	wilcoxon	E
YDR305C	HNT2	0.0040404	0.0188864	-328771	149219	591971	36510.4	37428.4	4	8	wilcoxon	E
YLR059C	REX2	0.0040404	0.0188864	-327428	75236.4	522244	22811.1	41350.2	4	8	wilcoxon	E
YCR033W	SNT1	0.0040404	0.0188864	-326832	50011	450893	7666.95	42459.8	4	8	wilcoxon	E
YBL071C	YBL071C	0.0040404	0.0188864	-326671	89618.5	510746	10825.9	16676.8	4	8	wilcoxon	E
YDR383C	NKP1	0.0040404	0.0188864	-326451	111480	533632	12074.2	29044	4	8	wilcoxon	E
YPL008W	CHL1	0.0040404	0.0188864	-324832	49098.9	482703	22540.9	23004	4	8	wilcoxon	E
YDR121W	DPB4	0.109091	0.21731	-323910	22010.9	525804	106240	37514.1	4	8	wilcoxon	E
YOL044W	PEX15	0.0040404	0.0188864	-321875	40405.5	477899	18795.4	23769.5	4	8	wilcoxon	E
YCR095C	OCA4	0.0040404	0.0188864	-318669	196786	596476	25803.1	35516.5	4	8	wilcoxon	E
YIL035C	CKA1	0.0040404	0.0188864	-317561	98530.5	513616	20878.7	36333.3	4	8	wilcoxon	E
YNL273W	TOF1	0.20194	0.350827	-316613	11686.9	400091	3830.17	71003	4	8	wilcoxon	E
YGR050C	YGR050C	0.153535	0.278587	-315539	173670	620574	100378	42528.1	4	8	wilcoxon	E
YDL106C	PHO2	0.0040404	0.0188864	-314569	93109.5	502109	20794.5	21833.2	4	8	wilcoxon	E
YGL221C	NIF3	0.00808081	0.0308865	-314278	158131	578839	21557.9	71845.6	4	8	wilcoxon	E
YBR164C	ARL1	0.0040404	0.0188864	-314048	46187.5	441102	16290.8	32581.1	4	8	wilcoxon	E
YOR024W	YOR024W	0.0040404	0.0188864	-313811	119413	563253	61885.2	23403.1	4	8	wilcoxon	E
YER129W	SAK1	0.0040404	0.0188864	-312892	202023	628080	7555	32891.1	4	8	wilcoxon	E
YNR013C	PHO91	0.0040404	0.0188864	-312564	237380	643783	29762.5	31718.2	4	8	wilcoxon	E
YKR099W	BAS1	0.0040404	0.0188864	-312136	41932	437106	800.843	38120.9	4	8	wilcoxon	E
YMR048W	CSM3	0.0040404	0.0188864	-311888	4604.5	395541	5555.71	23593	4	8	wilcoxon	E
YMR135W-A	YMR135W-A	0.0040404	0.0188864	-311586	154131	571418	11538.2	36426.6	4	8	wilcoxon	E
YBR261C	TAE1	0.0040404	0.0188864	-310857	146239	579724	26751.5	53076.4	4	8	wilcoxon	E
YMR186W	HSC82	0.0040404	0.0188864	-310545	44175.5	457164	39739.3	43344.9	4	8	wilcoxon	E
YDL035C	GPR1	0.367677	0.516455	-308587	2780.55	458600	184943	64647.4	4	8	wilcoxon	E
YGR260W	TNA1	0.0040404	0.0188864	-308557	99023	498917	10450.6	20631.7	4	8	wilcoxon	E
YPL088W	YPL088W	0.00808081	0.0308865	-308418	161343	576634	20547	64418.9	4	8	wilcoxon	E
YKL037W	AIM26	0.0040404	0.0188864	-307675	38676.5	438512	7195.35	24838.4	4	8	wilcoxon	E
YPR119W	CLB2	1.05027e-13	1.11198e-10	-307463	109864	528804	9445.3	8801.93	28	56	wilcoxon	E
YOR027W	STI1	0.0040404	0.0188864	-306519	10643.6	401353	8810.59	28980.5	4	8	wilcoxon	E
YIL017C	VID28	0.0040404	0.0188864	-305497	133366	539260	21108.8	27553.1	4	8	wilcoxon	E
YGR178C	PBP1	0.0040404	0.0188864	-305390	252559	716361	51573.7	28205.3	4	8	wilcoxon	E
YNL037C	IDH1	0.0040404	0.0188864	-303674	164170	552341	34420.1	27877.7	4	8	wilcoxon	E
YDL190C	UFD2	0.0040404	0.0188864	-303368	82125.5	492200	12023.3	29295.4	4	8	wilcoxon	E
YPL052W	OAZ1	0.0040404	0.0188864	-302612	61093	466695	31014.7	28132.5	4	8	wilcoxon	E
YNL100W	MIC27	0.0040404	0.0188864	-302611	188254	636200	37569	27989.6	4	8	wilcoxon	E
YER161C	SPT2	0.0161616	0.0516562	-302592	72916	487655	25141.4	60256.5	4	8	wilcoxon	E
YPL004C	LSP1	0.0040404	0.0188864	-302446	209757	640456	51871.3	23324.4	4	8	wilcoxon	E
YJL197W	UBP12	0.0040404	0.0188864	-300554	256529	687654	16760	32388	4	8	wilcoxon	E
YCL024W	KCC4	0.214141	0.350827	-299183	98977.3	469831	169603	49673.9	4	8	wilcoxon	E
YLR343W	GAS2	0.0040404	0.0188864	-297767	186872	573277	32765.7	34819.4	4	8	wilcoxon	E
YBR278W	DPB3	0.0040404	0.0188864	-297554	37804	429954	7757.05	48954.8	4	8	wilcoxon	E
YKL191W	DPH2	0.0040404	0.0188864	-296265	178880	572497	23265.1	15830.9	4	8	wilcoxon	E
YEL062W	NPR2	0.20194	0.350827	-295958	40702.5	428043	7744.68	85407.7	4	8	wilcoxon	E
YKR028W	SAP190	0.0040404	0.0188864	-295932	70281.5	442784	17821	37103.2	4	8	wilcoxon	E
YML034W	SRC1	0.0040404	0.0188864	-295713	128294	483351	26780.5	27552	4	8	wilcoxon	E
YMR092C	AIP1	0.0161616	0.0516562	-295319	131671	571735	57768.5	34255.9	4	8	wilcoxon	E
YKL214C	YRA2	0.0040404	0.0188864	-294691	186405	564291	56061.1	41788.1	4	8	wilcoxon	E
YHL007C	STE20	0.266236	0.425498	-294380	1782.9	375236	1212.72	82545.5	4	8	wilcoxon	E
YDR155C	CPR1	0.0040404	0.0188864	-293645	206070	604301	40524.2	31827.9	4	8	wilcoxon	E
YOR276W	CAF20	0.0040404	0.0188864	-293337	105897	493923	22933	22297.9	4	8	wilcoxon	E
YMR138W	CIN4	0.0040404	0.0188864	-293085	191283	605681	11128.5	11457.9	4	8	wilcoxon	E
YCR019W	MAK32	0.0040404	0.0188864	-293074	203721	583780	22736.1	40666.9	4	8	wilcoxon	E
YJL168C	SET2	0.0040404	0.0188864	-291001	19605.5	387100	13552	35220.5	4	8	wilcoxon	E
YOL155C	HPF1	0.0040404	0.0188864	-290260	185197	573248	18329.3	36965.2	4	8	wilcoxon	E
YPL127C	HHO1	0.0040404	0.0188864	-290060	132989	518156	35761.4	30952.8	4	8	wilcoxon	E
YFL042C	YFL042C	0.0040404	0.0188864	-287567	165613	548851	8251.46	39235.1	4	8	wilcoxon	E
YKR034W	DAL80	0.0040404	0.0188864	-287387	197479	596403	12417.2	31452.4	4	8	wilcoxon	E
