R package version: 0.0-43
Summary type: median
Test type: wilcoxon
x-axis treatment: 27
x-axis medium: SDM_rhl_CNGT
x-axis screen ID: cSGA
x-axis screen name: cSGA
x-axis libraries: Boone Standard SDL
x-axis client: MS
x-axis user: SGA
x-axis date: 2009
x-axis PI: DAL
x-axis condition: 
x-axis inoculation type: DIL
x-axis fitness definition: MDP
y-axis treatment: 27
y-axis medium: SDM_rhl_CNGHT
y-axis screen ID: bir1-17
y-axis screen name: bir1-17
y-axis libraries: 
y-axis client: MS
y-axis user: AC
y-axis date: 2010
y-axis PI: DAL
y-axis condition: 
y-axis inoculation type: DIL
y-axis fitness definition: MDP
#########################################################
ORF	Gene	P	Q	GIS	QueryFitnessSummary	ControlFitnessSummary	QuerySE	ControlSE	QueryCount	ControlCount	TestType	Type
YCR081W	SRB8	0.0370772	0.413978	-9.20994	0	8.07628	0	1.47974	4	8	wilcoxon	E
YHL007C	STE20	0.387338	0.833101	-7.65634	5.19199	11.8783	1.39193	2.22362	4	8	wilcoxon	E
YKL212W	SAC1	0.0040404	0.150097	-7.23808	5.60475	9.46131	1.54475	0.649346	4	8	wilcoxon	E
YPR024W	YME1	0.0040404	0.150097	-7.19852	4.7589	10.6364	1.95584	0.263789	4	8	wilcoxon	E
YOR302W	YOR302W	0.20194	0.667124	-7.10627	4.783	10.5024	0.390802	1.83873	4	8	wilcoxon	E
YNR041C	COQ2	0.0040404	0.150097	-6.44316	6.96549	12.0836	2.28575	0.0620413	4	8	wilcoxon	E
YPR141C	KAR3	0.00808081	0.207407	-6.2309	4.97021	9.71501	1.84958	0.298311	4	8	wilcoxon	E
YDL035C	GPR1	0.153535	0.622818	-5.56968	7.34073	12.2349	1.92157	1.53603	4	8	wilcoxon	E
YCL032W	STE50	0.0040404	0.150097	-4.54713	9.52803	12.489	0.440137	0.0616902	4	8	wilcoxon	E
YBL025W	RRN10	0.153535	0.622818	-4.41706	7.64977	12.3809	1.99596	1.56309	4	8	wilcoxon	E
YOL052C	SPE2	0.0411842	0.413978	-4.21589	5.65923	8.79499	1.58527	1.1726	4	8	wilcoxon	E
YOR303W	CPA1	0.252325	0.718954	-3.51798	3.19014	8.57314	2.00843	1.82141	4	8	wilcoxon	E
YOR058C	ASE1	0.0612714	0.483516	-3.40502	10.4654	12.445	3.00328	1.55343	4	8	wilcoxon	E
YGR157W	CHO2	0.0484848	0.413978	-2.96409	9.36305	11.1923	0.759175	1.40296	4	8	wilcoxon	E
YEL061C	CIN8	0.0040404	0.150097	-2.92308	10.0741	12.0474	2.73308	0.177248	4	8	wilcoxon	E
YER016W	BIM1	0.0040404	0.150097	-2.90989	10.7393	12.2129	0.093254	0.215307	4	8	wilcoxon	E
YOL004W	SIN3	0.0040404	0.150097	-2.60253	10.3349	11.5071	0.172264	0.0520058	4	8	wilcoxon	E
YPR069C	SPE3	0.0282828	0.339314	-2.28038	7.38521	8.4754	0.927623	0.306745	4	8	wilcoxon	E
YDR318W	MCM21	0.0040404	0.150097	-2.0124	12.076	12.5222	0.024113	0.0523405	4	8	wilcoxon	E
YMR202W	ERG2	0.443898	0.836837	-1.97455	9.63564	10.3375	0.29533	1.77656	4	8	wilcoxon	E
YPL018W	CTF19	0.0040404	0.150097	-1.89781	12.0986	12.5518	0.215353	0.0771249	4	8	wilcoxon	E
YMR198W	CIK1	0.0040404	0.150097	-1.86823	11.2158	11.7047	0.158815	0.0945521	4	8	wilcoxon	E
