R package version: 0.0-43
Summary type: median
Test type: wilcoxon
x-axis treatment: 20
x-axis medium: SDM_rhl_CNGT
x-axis screen ID: cSGA
x-axis screen name: cSGA
x-axis libraries: Boone Standard SDL
x-axis client: MS
x-axis user: SGA
x-axis date: 2009
x-axis PI: DAL
x-axis condition: 
x-axis inoculation type: DIL
x-axis fitness definition: MDRMDP
y-axis treatment: 20
y-axis medium: SDM_rhl_CNGHT
y-axis screen ID: bir1-17
y-axis screen name: bir1-17
y-axis libraries: 
y-axis client: MS
y-axis user: AC
y-axis date: 2010
y-axis PI: DAL
y-axis condition: 
y-axis inoculation type: DIL
y-axis fitness definition: MDRMDP
#########################################################
ORF	Gene	P	Q	GIS	QueryFitnessSummary	ControlFitnessSummary	QuerySE	ControlSE	QueryCount	ControlCount	TestType	Type
YCL032W	STE50	0.0040404	0.0847085	-61.7336	7.85781	63.8978	1.21995	0.771601	4	8	wilcoxon	E
YDL035C	GPR1	0.0484848	0.322851	-58.9284	5.65735	61.5191	15.4056	5.04777	4	8	wilcoxon	E
YNR041C	COQ2	0.0040404	0.0847085	-55.299	4.27709	54.0644	1.21543	1.22732	4	8	wilcoxon	E
YHL007C	STE20	0.549409	0.859824	-47.9816	3.91155	48.2622	0.637234	9.89588	4	8	wilcoxon	E
YOR302W	YOR302W	0.387338	0.779276	-44.9494	3.82074	43.1403	0.977735	10.0485	4	8	wilcoxon	E
YOR058C	ASE1	0.0484848	0.322851	-44.134	20.6688	60.032	12.4158	7.62469	4	8	wilcoxon	E
YPR024W	YME1	0.0040404	0.0847085	-36.2895	4.53775	36.8121	1.51628	2.26842	4	8	wilcoxon	E
YER016W	BIM1	0.0040404	0.0847085	-35.7535	27.5056	56.6403	2.70513	3.16822	4	8	wilcoxon	E
YOL004W	SIN3	0.0040404	0.0847085	-35.1818	14.2664	45.7409	4.67661	1.43298	4	8	wilcoxon	E
YIL040W	APQ12	0.551518	0.859824	-34.9212	4.95071	45.0204	15.1337	9.72662	4	8	wilcoxon	E
YKL212W	SAC1	0.20194	0.597424	-33.3724	4.75428	39.5683	0.626299	9.77772	4	8	wilcoxon	E
YMR202W	ERG2	0.387338	0.779276	-31.434	4.55791	32.06	1.25476	7.88355	4	8	wilcoxon	E
YPL018W	CTF19	0.0040404	0.0847085	-31.0012	38.3791	63.9672	2.98206	1.57972	4	8	wilcoxon	E
YDR318W	MCM21	0.0040404	0.0847085	-30.2959	40.5023	65.8271	0.907729	1.53765	4	8	wilcoxon	E
YCR081W	SRB8	0.145986	0.526922	-28.0896	3.9387	29.4708	1.1496	5.8167	4	8	wilcoxon	E
YPL178W	CBC2	0.387338	0.779276	-27.5829	4.49427	29.0905	1.14362	6.98642	4	8	wilcoxon	E
YGR157W	CHO2	0.0484848	0.322851	-27.0554	17.7001	44.4376	3.32944	6.57591	4	8	wilcoxon	E
YOL064C	MET22	0.549409	0.859824	-26.674	11.1458	38.1513	1.11786	10.8233	4	8	wilcoxon	E
YPL180W	TCO89	0.20194	0.597424	-26.5168	13.8223	36.5762	1.51753	6.74703	4	8	wilcoxon	E
YPL226W	NEW1	0.0484848	0.322851	-25.5599	12.9911	35.2243	1.29996	6.81722	4	8	wilcoxon	E
YBR238C	YBR238C	0.0040404	0.0847085	-24.7154	43.0407	62.8158	1.43188	1.06861	4	8	wilcoxon	E
YLR087C	CSF1	0.443898	0.800766	-23.4071	12.7762	37.8736	10.7078	8.75035	4	8	wilcoxon	E
YIL084C	SDS3	0.0040404	0.0847085	-22.688	35.1893	54.7107	0.901314	1.29489	4	8	wilcoxon	E
YOR303W	CPA1	1	1	-21.6351	4.72976	13.676	0.448801	7.53175	4	8	wilcoxon	E
YDR392W	SPT3	0.0040404	0.0847085	-21.5687	31.5955	46.728	2.41637	1.18935	4	8	wilcoxon	E
YOR078W	BUD21	0.0040404	0.0847085	-21.2995	6.1447	24.944	1.32973	2.53111	4	8	wilcoxon	E
YML013W	SEL1	0.109091	0.457879	-20.2485	29.1012	45.3728	3.88053	7.68668	4	8	wilcoxon	E
YMR198W	CIK1	0.0040404	0.0847085	-20.2468	36.3028	51.1367	1.29562	1.39134	4	8	wilcoxon	E
YCL044C	MGR1	0.0040404	0.0847085	-20.095	45.9764	59.6951	0.944194	2.03755	4	8	wilcoxon	E
YKL032C	IXR1	0.0040404	0.0847085	-19.7542	39.9428	53.6791	2.56413	0.917165	4	8	wilcoxon	E
YGR231C	PHB2	1.05027e-13	4.4479e-10	-19.7431	42.7338	56.2585	1.06248	0.54196	28	56	wilcoxon	E
YHL027W	RIM101	0.0040404	0.0847085	-19.6522	49.0686	64.0103	0.739256	1.1729	4	8	wilcoxon	E
