R package version: 0.0-43
Summary type: median
Test type: wilcoxon
x-axis treatment: 27
x-axis medium: SDM_rhl_CNGT
x-axis screen ID: cSGA
x-axis screen name: cSGA
x-axis libraries: Boone Standard SDL
x-axis client: MS
x-axis user: SGA
x-axis date: 2009
x-axis PI: DAL
x-axis condition: 
x-axis inoculation type: DIL
x-axis fitness definition: AUC
y-axis treatment: 27
y-axis medium: SDM_rhl_CNGHT
y-axis screen ID: bir1-17
y-axis screen name: bir1-17
y-axis libraries: 
y-axis client: MS
y-axis user: AC
y-axis date: 2010
y-axis PI: DAL
y-axis condition: 
y-axis inoculation type: DIL
y-axis fitness definition: AUC
#########################################################
ORF	Gene	P	Q	GIS	QueryFitnessSummary	ControlFitnessSummary	QuerySE	ControlSE	QueryCount	ControlCount	TestType	Type
YCL032W	STE50	0.0040404	0.113319	-2344220	87630.3	2308220	27890.5	106175	4	8	wilcoxon	E
YOR058C	ASE1	0.0484848	0.363422	-2202360	182070	2292920	502299	289540	4	8	wilcoxon	E
YDL035C	GPR1	0.0727273	0.419619	-2007810	21105.8	1963990	490233	262270	4	8	wilcoxon	E
YDR318W	MCM21	0.0040404	0.113319	-1983480	581960	2444220	16411	84290.4	4	8	wilcoxon	E
YER016W	BIM1	0.0040404	0.113319	-1839260	220157	1974410	16594.6	296354	4	8	wilcoxon	E
YPL018W	CTF19	0.0040404	0.113319	-1748750	586367	2397990	122291	110871	4	8	wilcoxon	E
YNR041C	COQ2	0.0040404	0.113319	-1735190	657.166	1659850	27728.4	74481.4	4	8	wilcoxon	E
YHL007C	STE20	0.266236	0.671777	-1629760	658.666	1463330	480.541	358815	4	8	wilcoxon	E
YBL025W	RRN10	0.153535	0.54321	-1587330	50724.8	2199610	367200	454500	4	8	wilcoxon	E
YEL061C	CIN8	0.0040404	0.113319	-1563350	177345	1680170	112911	145637	4	8	wilcoxon	E
YPL017C	IRC15	0.0040404	0.113319	-1399240	1174580	2482350	39756.8	89772.8	4	8	wilcoxon	E
YDL118W	YDL118W	0.0040404	0.113319	-1271110	1450460	2542580	69415.5	161725	4	8	wilcoxon	E
YDR126W	SWF1	0.0040404	0.113319	-1122770	592276	1610510	96618.6	101662	4	8	wilcoxon	E
YMR198W	CIK1	0.0040404	0.113319	-1097300	310525	1345670	34818.7	83828.8	4	8	wilcoxon	E
YDR254W	CHL4	0.0040404	0.113319	-1069360	1738790	2664790	112426	59402	4	8	wilcoxon	E
YOL004W	SIN3	0.0040404	0.113319	-1037730	140960	1124250	15291.1	49317.6	4	8	wilcoxon	E
YBR222C	PCS60	0.0040404	0.113319	-987384	1940330	2727120	35545.5	80818.1	4	8	wilcoxon	E
YBR150C	TBS1	0.00808081	0.162191	-948084	1768290	2524100	238336	158811	4	8	wilcoxon	E
YGL046W	YGL046W	0.0040404	0.113319	-924346	1320690	2208910	122550	114721	4	8	wilcoxon	E
YOR275C	RIM20	0.0040404	0.113319	-908285	1158950	2029920	68089.9	99700.5	4	8	wilcoxon	E
