R package version: 0.0-43
Summary type: mean
Test type: t-test
x-axis treatment: 37
x-axis medium: SDM_rhl_CNGT
x-axis screen ID: cSGA
x-axis screen name: cSGA
x-axis libraries: Boone Standard SDL
x-axis client: MS
x-axis user: SGA
x-axis date: 2009
x-axis PI: DAL
x-axis condition: 
x-axis inoculation type: DIL
x-axis fitness definition: K
y-axis treatment: 37
y-axis medium: SDM_rhl_CNGHT
y-axis screen ID: bir1-17
y-axis screen name: bir1-17
y-axis libraries: 
y-axis client: MS
y-axis user: AC
y-axis date: 2010
y-axis PI: DAL
y-axis condition: 
y-axis inoculation type: DIL
y-axis fitness definition: K
#########################################################
ORF	Gene	P	Q	GIS	QueryFitnessSummary	ControlFitnessSummary	QuerySE	ControlSE	QueryCount	ControlCount	TestType	Type
YOR349W	CIN1	2.23765e-07	1.33628e-05	-569606	12147.8	706775	4950.49	37615.1	4	8	t-test	E
YML124C	TUB3	1.48881e-10	4.50365e-08	-495923	10994.2	615856	8386.06	19239.1	4	8	t-test	E
YPR046W	MCM16	2.84189e-05	0.000512145	-491900	7856.41	607155	6190.36	63621.3	4	8	t-test	E
YCL032W	STE50	9.04437e-07	3.54656e-05	-490524	16095.5	615494	4849.92	39126.8	4	8	t-test	E
YJR135C	MCM22	2.38496e-07	1.38361e-05	-487483	2180.2	594893	1186.51	30660.8	4	8	t-test	E
YLR381W	CTF3	4.51002e-07	2.07608e-05	-475726	9336.88	589304	5462.65	35328.7	4	8	t-test	E
YDR254W	CHL4	2.00328e-07	1.22955e-05	-470580	15243.1	590228	13804.2	38107.6	4	8	t-test	E
YFR046C	CNN1	2.50775e-08	2.59032e-06	-462617	9225.84	573243	1980.52	21719.5	4	8	t-test	E
YGL217C	YGL217C	4.16036e-41	8.80956e-38	-443615	43267.6	591515	10418.6	10548.4	28	56	t-test	E
YER177W	BMH1	7.10607e-08	5.78734e-06	-440794	3102.27	539290	315.614	23146.1	4	8	t-test	E
YLR412W	BER1	8.47992e-08	6.52954e-06	-429982	25057.2	552828	8666.21	29713.3	4	8	t-test	E
YER007W	PAC2	1.06134e-08	1.322e-06	-427435	42632	571086	10778.7	25790.5	4	8	t-test	E
