R package version: 0.0-43
Summary type: mean
Test type: t-test
x-axis treatment: 37
x-axis medium: SDM_rhl_CNGT
x-axis screen ID: cSGA
x-axis screen name: cSGA
x-axis libraries: Boone Standard SDL
x-axis client: MS
x-axis user: SGA
x-axis date: 2009
x-axis PI: DAL
x-axis condition: 
x-axis inoculation type: DIL
x-axis fitness definition: MDP
y-axis treatment: 37
y-axis medium: SDM_rhl_CNGHT
y-axis screen ID: bir1-17
y-axis screen name: bir1-17
y-axis libraries: 
y-axis client: MS
y-axis user: AC
y-axis date: 2010
y-axis PI: DAL
y-axis condition: 
y-axis inoculation type: DIL
y-axis fitness definition: MDP
#########################################################
ORF	Gene	P	Q	GIS	QueryFitnessSummary	ControlFitnessSummary	QuerySE	ControlSE	QueryCount	ControlCount	TestType	Type
YDR254W	CHL4	0.0392091	0.100757	-9.00724	4.25472	12.327	2.57011	0.104323	4	8	t-test	E
YJR135C	MCM22	0.0096404	0.0391064	-8.92098	4.32207	12.3094	1.51481	0.0799954	4	8	t-test	E
YBR107C	IML3	0.00820165	0.0350866	-8.80392	4.15673	12.0469	1.4101	0.0634365	4	8	t-test	E
YDR126W	SWF1	0.0108609	0.0420453	-8.78391	2.88345	10.8448	1.7157	0.474416	4	8	t-test	E
YDL226C	GCS1	0.0016799	0.011897	-8.0854	1.21421	8.64398	1.21421	1.29615	4	8	t-test	E
YPL017C	IRC15	0.0886656	0.174326	-7.99167	5.17703	12.2403	3.21352	0.0881248	4	8	t-test	E
YML124C	TUB3	0.0323259	0.0883227	-7.92283	5.38437	12.369	2.09404	0.0462975	4	8	t-test	E
YLR015W	BRE2	0.0323638	0.0883694	-7.92184	3.65511	10.7608	2.11599	0.223911	4	8	t-test	E
YMR048W	CSM3	0.0367961	0.0960146	-7.20893	5.32717	11.6523	2.00787	0.102208	4	8	t-test	E
YPR046W	MCM16	0.00586282	0.0280872	-7.00626	6.22739	12.3007	1.03358	0.146513	4	8	t-test	E
YER177W	BMH1	1.15385e-06	5.88739e-05	-6.94702	6.15034	12.174	0.147246	0.0586376	4	8	t-test	E
YCL016C	DCC1	0.0672363	0.143988	-6.87884	4.24333	10.3381	2.45421	0.17694	4	8	t-test	E
YGR200C	ELP2	0.0242749	0.0729109	-6.86277	4.79236	10.8334	1.63944	0.145369	4	8	t-test	E
YNR041C	COQ2	0.048962	0.116377	-6.84923	5.49423	11.4732	2.13785	0.108299	4	8	t-test	E
YPL138C	SPP1	2.17978e-07	1.61954e-05	-6.75472	5.04814	10.9708	0.247228	0.176896	4	8	t-test	E
YKL110C	KTI12	0.0315767	0.0867233	-6.7314	4.89732	10.8089	1.76558	0.0775478	4	8	t-test	E
YLR216C	CPR6	0.0610362	0.135646	-6.69668	5.88278	11.6926	2.28819	0.0875711	4	8	t-test	E
YLR119W	SRN2	0.0120716	0.0450822	-6.61291	1.26549	7.32297	1.26549	1.6245	4	8	t-test	E
YDR318W	MCM21	0.00789514	0.0341456	-6.58573	6.47558	12.1405	1.04366	0.0619819	4	8	t-test	E
YGL115W	SNF4	1.52157e-09	4.95679e-07	-6.58533	6.09331	11.7848	0.171073	0.248801	4	8	t-test	E
YGL216W	KIP3	0.000429474	0.00472421	-6.55251	6.38065	12.0214	0.462403	0.109305	4	8	t-test	E
YLR217W	YLR217W	0.00139464	0.0104536	-6.52263	6.21827	11.8427	0.580871	0.055902	4	8	t-test	E
YOR039W	CKB2	0.0195613	0.0633834	-6.38668	2.81633	8.55419	1.64123	1.24758	4	8	t-test	E
YPL018W	CTF19	0.0206061	0.0656636	-6.35183	6.74676	12.1751	1.41656	0.0486299	4	8	t-test	E
YDR074W	TPS2	0.00936386	0.0382127	-6.33875	3.70069	9.33166	1.24228	1.4	4	8	t-test	E
YLR381W	CTF3	0.00394292	0.0217426	-6.15743	7.08856	12.3121	0.779393	0.0800498	4	8	t-test	E
YMR198W	CIK1	0.0610926	0.135652	-6.13685	3.64817	9.09517	2.1226	0.316989	4	8	t-test	E
YIL036W	CST6	0.000965083	0.00810938	-6.13025	5.94576	11.2246	0.599854	0.182296	4	8	t-test	E
YPL086C	ELP3	0.0629454	0.138112	-6.07721	5.50859	10.769	2.10469	0.0993967	4	8	t-test	E
YOR058C	ASE1	0.130984	0.230744	-5.84364	6.88671	11.8328	2.83834	0.306843	4	8	t-test	E
YOR349W	CIN1	0.00315571	0.0185524	-5.82038	7.69113	12.5589	0.685675	0.0749777	4	8	t-test	E
YFR010W	UBP6	0.0475187	0.114018	-5.81168	5.09475	10.1375	1.8203	0.289526	4	8	t-test	E
YIL153W	RRD1	0.0526817	0.123264	-5.7788	5.44806	10.4354	1.91359	0.443796	4	8	t-test	E
YDR333C	RQC1	0.000644332	0.00605043	-5.66636	6.7756	11.5648	0.519369	0.175768	4	8	t-test	E
YDR392W	SPT3	0.089369	0.175221	-5.65763	5.61832	10.481	2.29161	0.228508	4	8	t-test	E
YLR384C	IKI3	0.0776086	0.159214	-5.59642	6.26318	11.0235	2.12154	0.0988172	4	8	t-test	E
