R package version: 0.0-43
Summary type: median
Test type: wilcoxon
x-axis treatment: 37
x-axis medium: SDM_rhl_CNGT
x-axis screen ID: cSGA
x-axis screen name: cSGA
x-axis libraries: Boone Standard SDL
x-axis client: MS
x-axis user: SGA
x-axis date: 2009
x-axis PI: DAL
x-axis condition: 
x-axis inoculation type: DIL
x-axis fitness definition: MDP
y-axis treatment: 37
y-axis medium: SDM_rhl_CNGHT
y-axis screen ID: bir1-17
y-axis screen name: bir1-17
y-axis libraries: 
y-axis client: MS
y-axis user: AC
y-axis date: 2010
y-axis PI: DAL
y-axis condition: 
y-axis inoculation type: DIL
y-axis fitness definition: MDP
#########################################################
ORF	Gene	P	Q	GIS	QueryFitnessSummary	ControlFitnessSummary	QuerySE	ControlSE	QueryCount	ControlCount	TestType	Type
YDL226C	GCS1	0.0246028	0.0545798	-9.81389	0	9.71003	1.21421	1.29615	4	8	wilcoxon	E
YLR119W	SRN2	0.0644341	0.115578	-8.67658	0	9.4766	1.26549	1.6245	4	8	wilcoxon	E
YDR126W	SWF1	0.00836037	0.0216552	-7.8971	2.3752	11.1453	1.7157	0.474416	4	8	wilcoxon	E
YDR254W	CHL4	0.00836037	0.0216552	-7.85575	3.32902	12.3504	2.57011	0.104323	4	8	wilcoxon	E
YJR135C	MCM22	0.0040404	0.0129531	-7.84634	5.14033	12.3588	1.51481	0.0799954	4	8	wilcoxon	E
YPR046W	MCM16	0.0040404	0.0129531	-7.6977	5.39844	12.1979	1.03358	0.146513	4	8	wilcoxon	E
YBR107C	IML3	0.0040404	0.0129531	-7.53654	5.29019	12.0746	1.4101	0.0634365	4	8	wilcoxon	E
YLR015W	BRE2	0.00836037	0.0216552	-7.41967	3.46479	10.9898	2.11599	0.223911	4	8	wilcoxon	E
YML124C	TUB3	0.0040404	0.0129531	-7.20341	5.92055	12.3764	2.09404	0.0462975	4	8	wilcoxon	E
YDR074W	TPS2	0.0411842	0.0810478	-7.1307	4.77836	10.6491	1.24228	1.4	4	8	wilcoxon	E
YER177W	BMH1	0.0040404	0.0129531	-6.83132	6.14226	12.1641	0.147246	0.0586376	4	8	wilcoxon	E
YDR318W	MCM21	0.0040404	0.0129531	-6.82959	6.14163	12.1376	1.04366	0.0619819	4	8	wilcoxon	E
