R package version: 0.0-43
Summary type: mean
Test type: t-test
x-axis treatment: 27
x-axis medium: SDM_rhl_CNGT
x-axis screen ID: cSGA
x-axis screen name: cSGA
x-axis libraries: Boone Standard SDL
x-axis client: MS
x-axis user: SGA
x-axis date: 2009
x-axis PI: DAL
x-axis condition: 
x-axis inoculation type: DIL
x-axis fitness definition: MDRMDP
y-axis treatment: 27
y-axis medium: SDM_rhl_CNGHT
y-axis screen ID: bir1-17
y-axis screen name: bir1-17
y-axis libraries: 
y-axis client: MS
y-axis user: AC
y-axis date: 2010
y-axis PI: DAL
y-axis condition: 
y-axis inoculation type: DIL
y-axis fitness definition: MDRMDP
#########################################################
ORF	Gene	P	Q	GIS	QueryFitnessSummary	ControlFitnessSummary	QuerySE	ControlSE	QueryCount	ControlCount	TestType	Type
YNR041C	COQ2	0.00306196	0.0549466	-100.086	14.9632	99.9538	11.7647	1.36152	4	8	t-test	E
YCL032W	STE50	0.000930682	0.0313761	-92.9804	31.1046	107.804	8.52026	2.07229	4	8	t-test	E
YKL212W	SAC1	0.000903209	0.0310983	-76.1575	3.15536	68.9062	1.09464	12.0705	4	8	t-test	E
YPR024W	YME1	4.98672e-08	8.44751e-06	-75.4914	3.34887	68.4957	1.40942	3.48947	4	8	t-test	E
YOR302W	YOR302W	0.00413993	0.0621244	-67.5781	3.4656	61.722	0.309869	14.0493	4	8	t-test	E
YHL007C	STE20	0.0151892	0.114054	-64.3385	3.69499	59.1068	1.5125	17.5094	4	8	t-test	E
YDL035C	GPR1	0.0831562	0.263007	-62.6791	38.4478	87.858	25.2185	12.7944	4	8	t-test	E
YEL061C	CIN8	0.030769	0.158365	-61.5656	44.1675	91.8599	16.4289	2.74902	4	8	t-test	E
YER016W	BIM1	9.95392e-07	0.000145362	-58.2315	57.4935	100.541	1.60594	3.89075	4	8	t-test	E
YBL025W	RRN10	0.101848	0.288513	-56.4334	39.0673	82.97	23.5298	15.8062	4	8	t-test	E
YPR141C	KAR3	1.48777e-05	0.00145223	-52.4764	10.0568	54.3282	4.18797	4.14364	4	8	t-test	E
YOR058C	ASE1	0.134382	0.332811	-50.7051	57.0036	93.5763	24.43	13.4172	4	8	t-test	E
YDR318W	MCM21	4.37748e-08	7.72443e-06	-49.4978	75.8641	108.913	2.01771	2.0483	4	8	t-test	E
YOL004W	SIN3	7.41513e-08	1.20781e-05	-48.5649	45.5078	81.7294	2.05242	2.40525	4	8	t-test	E
YCR081W	SRB8	0.00471399	0.0662345	-41.9999	0	36.4891	0	8.9524	4	8	t-test	E
YOR303W	CPA1	0.0215369	0.13593	-41.8752	2.46341	38.5209	1.43179	12.3543	4	8	t-test	E
YPL018W	CTF19	0.000649492	0.0247802	-40.5155	81.6156	106.106	4.64861	2.2525	4	8	t-test	E
YMR198W	CIK1	2.72865e-06	0.000361119	-39.5397	62.4867	88.6394	2.44405	1.95492	4	8	t-test	E
YDR126W	SWF1	0.00508377	0.0687852	-36.8323	73.7849	96.1031	5.50335	1.19941	4	8	t-test	E
YPR069C	SPE3	0.000897492	0.0310983	-33.5179	12.9361	40.3587	4.39676	4.85298	4	8	t-test	E
YOL052C	SPE2	0.00340166	0.0579509	-32.2579	9.22572	36.0406	4.87741	5.9868	4	8	t-test	E
YGR157W	CHO2	0.0598089	0.220039	-30.836	46.5586	67.2396	7.56045	10.7732	4	8	t-test	E
YIL059C	YIL059C	0.387361	0.587137	-30.5335	94.8577	108.939	30.1898	3.103	4	8	t-test	E
YDR245W	MNN10	0.0139763	0.111274	-30.0365	53.1702	72.2891	2.43657	8.03482	4	8	t-test	E
YDR392W	SPT3	0.00180594	0.0449892	-29.3942	69.2226	85.6773	3.99139	1.67768	4	8	t-test	E
YMR086C-A	YMR086C-A	0.423703	0.615147	-28.124	95.1722	107.118	30.4201	1.58894	4	8	t-test	E
YDL118W	YDL118W	1.36344e-05	0.00140834	-27.7436	96.2189	107.697	1.44809	2.64816	4	8	t-test	E
YPL017C	IRC15	3.09166e-06	0.000396764	-26.0334	98.4377	108.139	1.07345	2.07478	4	8	t-test	E
YHR158C	KEL1	0.436729	0.624279	-25.2356	89.9293	100.054	28.1407	2.35747	4	8	t-test	E
YGR188C	BUB1	0.000644949	0.0247802	-23.8276	52.4324	66.254	2.62615	3.5783	4	8	t-test	E
YBR231C	SWC5	0.00369884	0.0594434	-23.8211	84.1734	93.8245	3.99199	4.14718	4	8	t-test	E
YBR222C	PCS60	0.000186252	0.0112789	-23.6077	110.891	116.851	1.50326	3.12177	4	8	t-test	E
YDR254W	CHL4	1.5431e-05	0.00145223	-23.4942	104.343	111.063	1.84392	1.49014	4	8	t-test	E
YLR193C	UPS1	0.00106296	0.0328588	-23.2276	61.5705	73.6717	2.58066	3.81334	4	8	t-test	E
YBR238C	YBR238C	3.01497e-05	0.00260579	-22.889	103.662	109.946	1.82712	2.26319	4	8	t-test	E
YIL040W	APQ12	0.349492	0.550969	-22.3733	66.2004	76.9519	16.315	13.4956	4	8	t-test	E
YJL204C	RCY1	0.19481	0.402851	-22.2603	56.6222	68.5323	12.9548	6.35108	4	8	t-test	E
YDL119C	YDL119C	0.00144049	0.0394174	-21.9909	105.306	110.594	3.1011	1.62627	4	8	t-test	E
YCL037C	SRO9	0.201482	0.409638	-21.5213	6.08919	23.9877	2.18056	13.1817	4	8	t-test	E
YBR093C	PHO5	0.0151564	0.11401	-21.3837	71.4096	80.6179	2.11275	5.80421	4	8	t-test	E
YCR033W	SNT1	0.000169493	0.0107135	-21.0294	90.4616	96.8623	2.31074	2.15775	4	8	t-test	E
YBR212W	NGR1	0.00161788	0.0425573	-21.0029	112.824	116.267	2.81928	3.48475	4	8	t-test	E
YLR418C	CDC73	8.38671e-05	0.00612374	-20.3974	88.5253	94.631	1.92339	1.32354	4	8	t-test	E
YBR150C	TBS1	0.00654156	0.0771686	-20.334	106.944	110.578	4.08341	3.22445	4	8	t-test	E
YMR202W	ERG2	0.229605	0.438996	-20.1632	41.8971	53.9174	2.98598	13.1459	4	8	t-test	E
YIL084C	SDS3	3.24943e-05	0.00274363	-20.0447	86.1445	92.256	1.35057	2.1151	4	8	t-test	E
YDR162C	NBP2	0.00573665	0.0723057	-20.0177	100.211	104.454	3.8159	3.42472	4	8	t-test	E
YOR026W	BUB3	0.0284886	0.153476	-19.7707	58.3621	67.881	5.60307	2.45946	4	8	t-test	E
YDR410C	STE14	0.133227	0.331502	-19.6217	2.70664	19.3986	1.56975	9.99057	4	8	t-test	E
YBR221C	PDB1	0.000698052	0.0257065	-19.5432	101.481	105.144	0.721421	3.02796	4	8	t-test	E
YBR107C	IML3	0.000496373	0.0218698	-19.4186	108.136	110.818	1.6251	2.93361	4	8	t-test	E
YJR109C	CPA2	0.394874	0.592679	-19.4143	56.1838	65.6789	20.3685	6.57078	8	16	t-test	E
YDR207C	UME6	0.0597475	0.220027	-19.4038	62.3317	71.0109	2.25074	7.42467	4	8	t-test	E
YBR178W	YBR178W	0.00252758	0.0515137	-19.2993	118.681	119.876	3.22565	2.75637	4	8	t-test	E
YGL046W	YGL046W	0.000521771	0.022097	-19.1093	99.5674	103.105	2.34345	1.43648	4	8	t-test	E
YBR207W	FTH1	0.00288721	0.0538648	-19.0666	117.025	118.235	3.1483	3.06342	4	8	t-test	E
YBR220C	YBR220C	0.000925204	0.0313761	-19.0227	114.437	115.948	1.36516	3.1537	4	8	t-test	E
YDR532C	YDR532C	0.27121	0.480374	-18.5759	4.93374	20.425	2.59157	13.384	4	8	t-test	E
YBR201W	DER1	0.00128684	0.0375264	-18.5462	119.071	119.56	1.11572	3.21791	4	8	t-test	E
YKL032C	IXR1	0.00340727	0.0579509	-18.5186	88.4404	92.9249	3.3063	2.32412	4	8	t-test	E
YCR086W	CSM1	5.91057e-05	0.00456518	-18.3565	82.3283	87.474	1.7496	1.66747	4	8	t-test	E
YHL027W	RIM101	1.15631e-05	0.00122424	-18.2624	98.1968	101.179	0.335665	1.5261	4	8	t-test	E
YDL184C	RPL41A	0.0878802	0.269486	-18.1707	106.337	108.171	7.47574	2.23391	4	8	t-test	E
YGL045W	RIM8	0.00848019	0.0887016	-18.1309	100.264	102.86	3.88365	2.61285	4	8	t-test	E
YCR028C-A	RIM1	0.000640458	0.0247802	-18.1309	84.6026	89.2538	1.93995	2.74664	4	8	t-test	E
YBR223C	TDP1	0.00379637	0.0599275	-18.0699	112.089	113.081	3.06183	3.13174	4	8	t-test	E
YDL142C	CRD1	0.000164532	0.0105575	-17.7976	92.0507	95.4351	1.95032	1.80297	4	8	t-test	E
YBR209W	YBR209W	0.00426869	0.0629371	-17.7147	113.329	113.85	2.91023	3.30255	4	8	t-test	E
YBR182C	SMP1	0.0037034	0.0594434	-17.7045	109.237	110.285	2.81635	3.2476	4	8	t-test	E
YGL127C	SOH1	7.96888e-06	0.000937451	-17.7044	69.9051	76.1142	0.727462	1.55985	4	8	t-test	E
YLR182W	SWI6	0.138967	0.337845	-17.6395	4.00265	18.8025	0.228879	9.17889	4	8	t-test	E
YBR156C	SLI15	0.00499386	0.0678487	-17.4112	113.825	114.017	1.55428	3.80294	4	8	t-test	E
YDR080W	VPS41	0.340631	0.542524	-17.3689	18.7849	31.41	9.54505	12.5967	4	8	t-test	E
YBR210W	ERV15	0.00297183	0.0544736	-17.3062	111.309	111.739	2.73028	2.99032	4	8	t-test	E
YAL013W	DEP1	0.0175337	0.121332	-17.2806	88.5189	91.9175	4.34822	2.31604	4	8	t-test	E
YBR162C	TOS1	0.00638455	0.0768141	-17.2481	115.142	115.019	2.91954	3.53931	4	8	t-test	E
YDL038C	YDL038C	0.00124201	0.0367827	-16.9352	113.272	113.122	2.02255	2.80181	4	8	t-test	E
YGR282C	BGL2	0.439415	0.626762	-16.8129	104.793	105.65	18.8616	1.7748	4	8	t-test	E
YDL027C	YDL027C	0.000612987	0.0246209	-16.7493	113.773	113.397	1.67334	2.56127	4	8	t-test	E
YDR388W	RVS167	0.000975401	0.0320112	-16.5717	92.0228	94.3458	2.28395	2.30445	4	8	t-test	E
YBR199W	KTR4	0.0233409	0.140386	-16.5084	113.216	112.703	1.79266	4.92813	4	8	t-test	E
YBR169C	SSE2	0.00610813	0.0741233	-16.4426	114.845	114.061	2.59436	3.45708	4	8	t-test	E
YDL036C	PUS9	0.00038311	0.01823	-16.3976	113.871	113.176	0.854937	2.36585	4	8	t-test	E
YBR197C	YBR197C	0.00315433	0.0561285	-16.3456	111.669	111.218	2.77958	2.58388	4	8	t-test	E
YGR058W	PEF1	0.000107503	0.007327	-16.3165	98.3365	99.6094	1.12352	2.01016	4	8	t-test	E
YOR275C	RIM20	0.00317894	0.0562023	-16.2765	99.5293	100.611	2.86866	2.02528	4	8	t-test	E
YDL071C	YDL071C	0.000621117	0.0246209	-16.2438	107.962	107.909	1.20529	2.5412	4	8	t-test	E
YBR180W	DTR1	0.00703572	0.0805979	-16.1156	115.557	114.396	3.11624	2.99632	4	8	t-test	E
YFR011C	MIC19	0.0185991	0.126635	-16.1103	104.473	104.762	3.97812	1.57768	4	8	t-test	E
YKR019C	IRS4	1.98994e-05	0.00183204	-16.0605	98.242	99.3049	1.30003	1.40728	4	8	t-test	E
YFL036W	RPO41	0.0155544	0.115052	-16.0395	83.5138	86.4909	1.48703	4.38384	4	8	t-test	E
YBR139W	YBR139W	0.0178469	0.12248	-16.0296	120.634	118.732	3.83179	3.40544	4	8	t-test	E
YBR073W	RDH54	0.00202753	0.0474398	-15.8574	109.595	108.992	1.99943	2.83841	4	8	t-test	E
YBR121C	GRS1	0.00649414	0.0770383	-15.6261	106.98	106.519	1.08609	3.58432	4	8	t-test	E
YBR129C	OPY1	0.0197817	0.130862	-15.5878	112.03	110.873	3.76778	3.45645	4	8	t-test	E
YBR092C	PHO3	0.000289956	0.015853	-15.5775	120.019	117.805	0.925697	2.17832	4	8	t-test	E
YBR208C	DUR1	0.00548171	0.0707684	-15.5247	116.621	114.807	2.54523	3.11389	4	8	t-test	E
YBR056W	YBR056W	0.00609958	0.0741233	-15.5015	117.422	115.482	2.03132	3.42371	4	8	t-test	E
YLR290C	YLR290C	0.00105816	0.0328588	-15.4726	105.003	104.668	2.18662	1.38734	4	8	t-test	E
YDL065C	PEX19	0.000752559	0.0274749	-15.2864	99.2202	99.4822	2.05914	1.97944	4	8	t-test	E
YBR083W	TEC1	0.00279599	0.0535792	-15.2552	113.147	111.554	0.985243	3.00711	4	8	t-test	E
YDR305C	HNT2	0.000540558	0.022666	-15.2516	112.921	111.355	1.86863	2.04922	4	8	t-test	E
YBR145W	ADH5	0.0357305	0.169788	-15.2133	119.537	117.069	3.93644	4.1921	4	8	t-test	E
YBR072W	HSP26	0.0045612	0.0657031	-15.1722	119.047	116.609	1.10991	3.26196	4	8	t-test	E
YBR099C	YBR099C	0.00565706	0.0717295	-15.1272	110.938	109.524	2.58815	2.97413	4	8	t-test	E
YBR186W	PCH2	0.00267255	0.0521578	-15.1201	118.044	115.692	2.24144	2.6688	4	8	t-test	E
YBR126C	TPS1	0.00152763	0.0406385	-14.9361	102.545	102.067	0.776683	2.65039	4	8	t-test	E
YBR066C	NRG2	0.00148987	0.0403834	-14.8692	116.962	114.534	2.1183	2.29713	4	8	t-test	E
YDL051W	LHP1	0.000302176	0.0161989	-14.817	114.106	112.007	1.17999	2.08951	4	8	t-test	E
YDL076C	RXT3	5.9288e-05	0.00456518	-14.7694	111.948	110.091	1.2814	1.58031	4	8	t-test	E
YBR051W	YBR051W	0.00399408	0.0610647	-14.5696	118.102	115.264	1.98888	2.92533	4	8	t-test	E
YKR028W	SAP190	0.00183655	0.0454841	-14.4279	100.111	99.5104	2.29975	1.87622	4	8	t-test	E
YDL033C	SLM3	0.282336	0.491126	-14.3626	53.243	58.7351	1.92749	10.6248	4	8	t-test	E
YBR128C	ATG14	0.0179705	0.122948	-14.3531	120.277	116.965	2.88534	3.62847	4	8	t-test	E
YBR119W	MUD1	0.0134316	0.110853	-14.3479	110.486	108.455	3.33866	2.60841	4	8	t-test	E
YCR087W	YCR087W	0.00242718	0.0513954	-14.3165	113.065	110.668	2.14459	2.44067	4	8	t-test	E
YBR177C	EHT1	0.0205627	0.133718	-14.3044	117.227	114.273	3.70317	2.70976	4	8	t-test	E
YMR243C	ZRC1	0.00028834	0.015853	-14.2477	105.509	104.044	1.04945	2.00094	4	8	t-test	E
YDL019C	OSH2	0.0025143	0.0515137	-14.1703	114.774	112.025	0.879198	2.74155	4	8	t-test	E
YBR195C	MSI1	0.0075053	0.083425	-14.163	107.493	105.693	2.95476	2.06643	4	8	t-test	E
YCR102W-A	YCR102W-A	0.00144048	0.0394174	-14.1472	110.245	108.07	1.9424	2.24332	4	8	t-test	E
YBR289W	SNF5	0.314908	0.522737	-14.0601	5.58537	17.0678	2.15716	11.1736	4	8	t-test	E
YBR069C	TAT1	0.0140269	0.111274	-14.0572	115.655	112.693	2.27053	3.58584	4	8	t-test	E
YBR022W	POA1	0.00215736	0.0489518	-14.043	114.014	111.254	2.23377	2.10869	4	8	t-test	E
YDR263C	DIN7	0.00137659	0.0385647	-14.0008	115.015	112.088	1.72394	2.33788	4	8	t-test	E
YDL026W	YDL026W	0.000351653	0.0176079	-13.9922	116.508	113.377	1.05581	2.01922	4	8	t-test	E
YHL023C	NPR3	0.0168631	0.119423	-13.9338	99.5405	98.5853	3.35547	1.36039	4	8	t-test	E
YNL141W	AAH1	0.101986	0.288532	-13.9101	57.0308	61.6327	1.81629	6.33162	4	8	t-test	E
YBR114W	RAD16	0.00287716	0.0538648	-13.8543	109.507	107.175	1.35355	2.73966	4	8	t-test	E
YCR095C	OCA4	0.00553113	0.0707684	-13.843	111.756	109.119	2.56953	1.22671	4	8	t-test	E
YCL044C	MGR1	0.000364321	0.0176079	-13.7401	112.269	109.476	1.58169	1.76716	4	8	t-test	E
YDL222C	FMP45	0.00344826	0.0580163	-13.6762	112.62	109.725	2.42866	1.98492	4	8	t-test	E
YBR071W	YBR071W	0.0149091	0.113034	-13.5854	113.886	110.746	1.93187	3.59242	4	8	t-test	E
YGR259C	YGR259C	0.442186	0.628409	-13.5177	99.5215	98.2073	15.2265	2.05013	4	8	t-test	E
YLR065C	ENV10	0.716733	0.82595	-13.5119	57.7054	61.8729	31.1581	13.9192	4	8	t-test	E
YDL171C	GLT1	0.109511	0.300523	-13.4611	113.917	110.665	6.05422	1.37973	4	8	t-test	E
YBR184W	YBR184W	0.0157397	0.115927	-13.4571	118.921	115.008	3.06175	2.89696	4	8	t-test	E
YBR188C	NTC20	0.0218467	0.13626	-13.4142	117.854	114.044	2.32437	3.76804	4	8	t-test	E
YKR029C	SET3	0.000621629	0.0246209	-13.4123	101.099	99.486	1.57872	1.93514	4	8	t-test	E
YIL153W	RRD1	0.00185882	0.0457681	-13.3985	103.392	101.466	2.11232	1.362	4	8	t-test	E
YBR187W	GDT1	0.0241178	0.142057	-13.3634	111.34	108.341	3.48473	2.90971	4	8	t-test	E
YBR172C	SMY2	0.0329202	0.163061	-13.3632	116.817	113.099	3.62519	3.34213	4	8	t-test	E
YKR065C	PAM17	0.00293037	0.0544303	-13.36	109.165	106.449	2.31945	1.6449	4	8	t-test	E
YBL051C	PIN4	0.0171197	0.120123	-13.3542	101.406	99.7023	3.35406	2.14932	4	8	t-test	E
YCR020C	PET18	0.0005214	0.022097	-13.2952	115.85	112.2	1.01192	2.02826	4	8	t-test	E
YBR203W	COS111	0.0140427	0.111274	-13.2593	121.424	117.011	2.27521	3.33011	4	8	t-test	E
YDR024W	FYV1	0.0374499	0.173904	-13.2466	110.352	107.381	4.10554	2.1956	4	8	t-test	E
YBR162W-A	YSY6	0.0894502	0.271387	-13.2367	118.968	114.858	3.94134	5.06609	4	8	t-test	E
YBL089W	AVT5	0.0589811	0.218833	-13.2284	102.197	100.28	4.70074	1.71292	4	8	t-test	E
YBR194W	AIM4	0.261216	0.470505	-13.2163	46.5628	51.9355	7.7871	6.70867	4	8	t-test	E
YCR073W-A	SOL2	0.00176564	0.0447379	-13.1713	116.836	112.949	1.11031	2.41312	4	8	t-test	E
