R package version: 0.0-43
Summary type: median
Test type: wilcoxon
x-axis treatment: 37
x-axis medium: SDM_rhl_CNGT
x-axis screen ID: cSGA
x-axis screen name: cSGA
x-axis libraries: Boone Standard SDL
x-axis client: MS
x-axis user: SGA
x-axis date: 2009
x-axis PI: DAL
x-axis condition: 
x-axis inoculation type: DIL
x-axis fitness definition: MDRMDP
y-axis treatment: 37
y-axis medium: SDM_rhl_CNGHT
y-axis screen ID: bir1-17
y-axis screen name: bir1-17
y-axis libraries: 
y-axis client: MS
y-axis user: AC
y-axis date: 2010
y-axis PI: DAL
y-axis condition: 
y-axis inoculation type: DIL
y-axis fitness definition: MDRMDP
#########################################################
ORF	Gene	P	Q	GIS	QueryFitnessSummary	ControlFitnessSummary	QuerySE	ControlSE	QueryCount	ControlCount	TestType	Type
YDR254W	CHL4	0.00836037	0.0304177	-59.993	2.36706	110.916	8.15044	4.4165	4	8	wilcoxon	E
YJR135C	MCM22	0.0040404	0.0182227	-59.6662	3.55358	112.242	1.07224	2.20647	4	8	wilcoxon	E
YLR381W	CTF3	0.0040404	0.0182227	-57.7181	4.84959	112.521	1.10519	1.64243	4	8	wilcoxon	E
YPL017C	IRC15	0.0503943	0.109559	-57.2392	3.08901	109.232	14.9553	2.45634	4	8	wilcoxon	E
YOR349W	CIN1	0.0040404	0.0182227	-56.609	7.84791	112.293	0.884016	2.24207	4	8	wilcoxon	E
YBR107C	IML3	0.0040404	0.0182227	-56.5868	3.67174	106.652	0.989338	1.42693	4	8	wilcoxon	E
YML124C	TUB3	0.0040404	0.0182227	-55.6452	7.38695	111.594	6.74826	1.31967	4	8	wilcoxon	E
YPL018W	CTF19	0.0040404	0.0182227	-54.9477	4.64049	106.429	2.31168	1.56484	4	8	wilcoxon	E
YDR318W	MCM21	0.0040404	0.0182227	-54.8127	6.44519	108.094	7.68749	3.11703	4	8	wilcoxon	E
YPL253C	VIK1	0.0040404	0.0182227	-52.6188	12.6677	110.128	4.6287	2.33148	4	8	wilcoxon	E
YPR046W	MCM16	0.214141	0.32125	-51.9377	6.31324	104.886	18.6356	3.87043	4	8	wilcoxon	E
YNR041C	COQ2	0.0040404	0.0182227	-49.4892	4.1923	96.5668	2.54892	2.64019	4	8	wilcoxon	E
YDR333C	RQC1	0.0040404	0.0182227	-49.2106	5.2946	97.0688	0.614662	2.89495	4	8	wilcoxon	E
YER177W	BMH1	0.0040404	0.0182227	-48.7889	8.00444	104.28	5.50636	2.30984	4	8	wilcoxon	E
YDL035C	GPR1	0.394938	0.525302	-48.708	4.15588	95.8796	17.1678	12.6765	4	8	wilcoxon	E
YGL216W	KIP3	0.0040404	0.0182227	-47.857	11.1565	107.167	2.92553	3.89162	4	8	wilcoxon	E
YLR217W	YLR217W	0.0040404	0.0182227	-47.4597	4.21541	100.487	5.13719	2.41153	4	8	wilcoxon	E
YBL025W	RRN10	0.549409	0.676385	-47.3339	11.7446	116.587	3.70135	21.8492	4	8	wilcoxon	E
YCL032W	STE50	0.0040404	0.0182227	-47.0868	14.7084	111.469	2.54685	3.0082	4	8	wilcoxon	E
YDR126W	SWF1	0.00836037	0.0304177	-46.7624	2.41454	88.2803	1.45504	7.75694	4	8	wilcoxon	E
YOR195W	SLK19	0.0040404	0.0182227	-46.5683	15.2443	112.108	7.02426	1.44655	4	8	wilcoxon	E
