R package version: 0.0-43
Summary type: median
Test type: wilcoxon
x-axis treatment: 27
x-axis medium: SDM_rhl_CNGT
x-axis screen ID: cSGA
x-axis screen name: cSGA
x-axis libraries: Boone Standard SDL
x-axis client: MS
x-axis user: SGA
x-axis date: 2009
x-axis PI: DAL
x-axis condition: 
x-axis inoculation type: DIL
x-axis fitness definition: r
y-axis treatment: 27
y-axis medium: SDM_rhl_CNGHT
y-axis screen ID: bir1-17
y-axis screen name: bir1-17
y-axis libraries: 
y-axis client: MS
y-axis user: AC
y-axis date: 2010
y-axis PI: DAL
y-axis condition: 
y-axis inoculation type: DIL
y-axis fitness definition: r
#########################################################
ORF	Gene	P	Q	GIS	QueryFitnessSummary	ControlFitnessSummary	QuerySE	ControlSE	QueryCount	ControlCount	TestType	Type
YNR041C	COQ2	0.00836037	0.0975377	-5.45966	0.5	5.83175	0.820399	0.0715964	4	8	wilcoxon	E
YHL007C	STE20	0.387338	0.602415	-4.54101	0.514098	4.96232	0.177722	0.994707	4	8	wilcoxon	E
YOR302W	YOR302W	0.193931	0.431646	-4.3778	0.5	4.76638	0	0.845878	4	8	wilcoxon	E
YPR024W	YME1	0.00802185	0.0947984	-4.28787	0.5	4.62674	0.125	0.139316	4	8	wilcoxon	E
YKL212W	SAC1	0.00802185	0.0947984	-3.79681	0.5	3.95135	0.125	0.504207	4	8	wilcoxon	E
YCR081W	SRB8	0.0370772	0.213666	-3.49958	0	3.39395	0	0.658211	4	8	wilcoxon	E
YCL032W	STE50	0.0040404	0.0734382	-3.4857	2.78835	6.0137	0.580514	0.0954542	4	8	wilcoxon	E
YOR303W	CPA1	0.251432	0.498036	-3.18514	0.25	3.64161	0.144338	0.814769	4	8	wilcoxon	E
YBL025W	RRN10	0.106024	0.309444	-3.08948	1.92116	5.81059	1.17895	0.797699	4	8	wilcoxon	E
YDL035C	GPR1	0.0740244	0.263883	-2.98328	1.71139	5.74799	1.21152	0.71754	4	8	wilcoxon	E
YPR141C	KAR3	0.0040404	0.0734382	-2.63629	1.4223	3.84694	0.378843	0.190753	4	8	wilcoxon	E
YOR058C	ASE1	0.0888693	0.309444	-2.42456	3.60065	5.89863	1.23482	0.74808	4	8	wilcoxon	E
YER016W	BIM1	0.0040404	0.0734382	-2.14681	3.7155	5.74696	0.07354	0.128094	4	8	wilcoxon	E
YEL061C	CIN8	0.0040404	0.0734382	-2.10047	3.47325	5.30301	0.981575	0.121019	4	8	wilcoxon	E
YOL052C	SPE2	0.0411842	0.213666	-2.00289	0.949015	2.95912	0.488573	0.424849	4	8	wilcoxon	E
YPR069C	SPE3	0.0040404	0.0734382	-1.97921	0.878838	3.00464	0.365145	0.241927	4	8	wilcoxon	E
YOL004W	SIN3	0.0040404	0.0734382	-1.93892	3.12684	4.96135	0.147586	0.130797	4	8	wilcoxon	E
YDR318W	MCM21	0.0040404	0.0734382	-1.77623	4.39618	6.04209	0.109961	0.101386	4	8	wilcoxon	E
YMR198W	CIK1	0.0040404	0.0734382	-1.50385	3.85492	5.3153	0.0976989	0.0888768	4	8	wilcoxon	E
YMR202W	ERG2	0.20194	0.431646	-1.47257	3.03875	4.34728	0.123735	0.791207	4	8	wilcoxon	E
YDR126W	SWF1	0.0040404	0.0734382	-1.45427	4.2694	5.61283	0.264238	0.0628133	4	8	wilcoxon	E
YPL018W	CTF19	0.0040404	0.0734382	-1.34612	4.45333	5.99555	0.17796	0.106361	4	8	wilcoxon	E
YGR157W	CHO2	0.109091	0.309444	-1.29396	3.58436	4.86813	0.305131	0.633456	4	8	wilcoxon	E
YIL040W	APQ12	0.282828	0.498036	-1.24974	3.64907	5.01608	0.613702	0.723297	4	8	wilcoxon	E
