R package version: 0.0-43
Summary type: mean
Test type: t-test
x-axis treatment: 37
x-axis medium: SDM_rhl_CNGT
x-axis screen ID: cSGA
x-axis screen name: cSGA
x-axis libraries: Boone Standard SDL
x-axis client: MS
x-axis user: SGA
x-axis date: 2009
x-axis PI: DAL
x-axis condition: 
x-axis inoculation type: DIL
x-axis fitness definition: r
y-axis treatment: 37
y-axis medium: SDM_rhl_CNGHT
y-axis screen ID: bir1-17
y-axis screen name: bir1-17
y-axis libraries: 
y-axis client: MS
y-axis user: AC
y-axis date: 2010
y-axis PI: DAL
y-axis condition: 
y-axis inoculation type: DIL
y-axis fitness definition: r
#########################################################
ORF	Gene	P	Q	GIS	QueryFitnessSummary	ControlFitnessSummary	QuerySE	ControlSE	QueryCount	ControlCount	TestType	Type
YJR135C	MCM22	2.7952e-05	0.000836467	-2.93714	0.375	6.30801	0.125	0.0937656	4	8	t-test	E
YBR107C	IML3	8.97702e-05	0.00212863	-2.84156	0.375	6.12598	0.125	0.059558	4	8	t-test	E
YLR381W	CTF3	1.44734e-09	3.22604e-07	-2.77932	0.541355	6.32426	0.0413548	0.056817	4	8	t-test	E
YOR349W	CIN1	2.02814e-07	1.93103e-05	-2.64077	0.661319	6.28887	0.0776073	0.0986634	4	8	t-test	E
YPL018W	CTF19	7.70405e-06	0.000311778	-2.608	0.605763	6.12066	0.0890153	0.0737435	4	8	t-test	E
YNR041C	COQ2	0.000230727	0.00422999	-2.55257	0.458464	5.73455	0.171891	0.112384	4	8	t-test	E
YDR254W	CHL4	0.0160668	0.0672362	-2.53668	0.692152	6.14934	0.538539	0.205427	4	8	t-test	E
YDR333C	RQC1	3.12193e-11	1.46904e-08	-2.45079	0.553697	5.72208	0.0462676	0.108968	4	8	t-test	E
YDR126W	SWF1	2.6346e-05	0.000814419	-2.4271	0.326818	5.24486	0.19884	0.324493	4	8	t-test	E
YPL253C	VIK1	0.00158333	0.0157923	-2.38489	0.910138	6.27542	0.237884	0.0924609	4	8	t-test	E
YLR015W	BRE2	9.68699e-05	0.00221754	-2.32771	0.269509	4.94643	0.155728	0.139527	4	8	t-test	E
YPL008W	CHL1	3.28562e-07	2.78292e-05	-2.31423	0.772646	5.87899	0.061287	0.069181	4	8	t-test	E
YML124C	TUB3	0.0146615	0.0632941	-2.30331	1.00708	6.30466	0.455449	0.0617412	4	8	t-test	E
YPL017C	IRC15	0.0576779	0.147415	-2.30303	0.950629	6.19663	0.769961	0.106239	4	8	t-test	E
YGR200C	ELP2	0.000321673	0.00523956	-2.25813	0.446258	5.15055	0.153904	0.0851123	4	8	t-test	E
YPL138C	SPP1	4.07514e-09	6.90329e-07	-2.19946	0.5	5.14115	0	0.119863	4	8	t-test	E
YCL029C	BIK1	0.00215253	0.0191915	-2.19496	0.752326	5.61314	0.239446	0.0886457	4	8	t-test	E
YML041C	VPS71	1.15024e-07	1.35313e-05	-2.17751	0.511387	5.12104	0.0113875	0.19852	4	8	t-test	E
YPR120C	CLB5	1.66849e-10	5.88839e-08	-2.17586	0.623513	5.33143	0.0472464	0.100785	4	8	t-test	E
YLR384C	IKI3	0.00109737	0.0122622	-2.16603	0.56073	5.19314	0.187493	0.062528	4	8	t-test	E
YCL016C	DCC1	4.78885e-06	0.000230463	-2.15309	0.256285	4.58868	0.148055	0.282193	4	8	t-test	E
