R package version: 0.0-43
Summary type: mean
Test type: t-test
x-axis treatment: 27
x-axis medium: SDM_rhl_CNGT
x-axis screen ID: cSGA
x-axis screen name: cSGA
x-axis libraries: Boone Standard SDL
x-axis client: MS
x-axis user: SGA
x-axis date: 2009
x-axis PI: DAL
x-axis condition: 
x-axis inoculation type: DIL
x-axis fitness definition: r
y-axis treatment: 27
y-axis medium: SDM_rhl_CNGHT
y-axis screen ID: bir1-17
y-axis screen name: bir1-17
y-axis libraries: 
y-axis client: MS
y-axis user: AC
y-axis date: 2010
y-axis PI: DAL
y-axis condition: 
y-axis inoculation type: DIL
y-axis fitness definition: r
#########################################################
ORF	Gene	P	Q	GIS	QueryFitnessSummary	ControlFitnessSummary	QuerySE	ControlSE	QueryCount	ControlCount	TestType	Type
YNR041C	COQ2	0.00987515	0.081842	-4.75763	1.14522	5.76753	0.820399	0.0715964	4	8	t-test	E
YPR024W	YME1	2.37499e-09	4.37309e-07	-4.25449	0.375	4.52336	0.125	0.139316	4	8	t-test	E
YKL212W	SAC1	5.9629e-05	0.0044784	-4.1536	0.375	4.42479	0.125	0.504207	4	8	t-test	E
YCL032W	STE50	0.00594529	0.0673216	-3.88559	2.23829	5.9835	0.580514	0.0954542	4	8	t-test	E
YOR302W	YOR302W	0.00559961	0.0658121	-3.4114	0.5	3.82174	0	0.845878	4	8	t-test	E
YHL007C	STE20	0.022193	0.12383	-2.97718	0.472613	3.37071	0.177722	0.994707	4	8	t-test	E
YCR081W	SRB8	0.00342903	0.0545938	-2.91833	0	2.85143	0	0.658211	4	8	t-test	E
YPR141C	KAR3	0.00149796	0.0410913	-2.84087	1.1164	3.86655	0.378843	0.190753	4	8	t-test	E
YDL035C	GPR1	0.111878	0.277565	-2.69821	2.37609	4.95798	1.21152	0.71754	4	8	t-test	E
YEL061C	CIN8	0.0729496	0.222741	-2.64534	2.82657	5.34647	0.981575	0.121019	4	8	t-test	E
YBL025W	RRN10	0.123283	0.295307	-2.57156	2.41755	4.87474	1.17895	0.797699	4	8	t-test	E
YOR303W	CPA1	0.0199385	0.117277	-2.50025	0.25	2.6872	0.144338	0.814769	4	8	t-test	E
YER016W	BIM1	7.25441e-08	1.09723e-05	-2.13107	3.69829	5.69573	0.07354	0.128094	4	8	t-test	E
YOR058C	ASE1	0.213514	0.399218	-2.04793	3.2964	5.22182	1.23482	0.74808	4	8	t-test	E
YPR069C	SPE3	0.00389477	0.0561032	-2.03188	1.22551	3.18272	0.365145	0.241927	4	8	t-test	E
YOL004W	SIN3	1.17403e-05	0.00113001	-1.97133	3.0727	4.9284	0.147586	0.130797	4	8	t-test	E
YDR318W	MCM21	1.95479e-06	0.000258704	-1.83581	4.35673	6.05058	0.109961	0.101386	4	8	t-test	E
YOL052C	SPE2	0.0274997	0.134172	-1.77984	1.02646	2.74197	0.488573	0.424849	4	8	t-test	E
YMR198W	CIK1	3.39414e-06	0.000399283	-1.52644	3.8734	5.27605	0.0976989	0.0888768	4	8	t-test	E
YDR126W	SWF1	0.00890073	0.0780426	-1.48591	4.16754	5.52385	0.264238	0.0628133	4	8	t-test	E
YIL059C	YIL059C	0.3792	0.558967	-1.45486	4.72604	6.03921	1.41178	0.129241	4	8	t-test	E
YPL018W	CTF19	0.00076667	0.0272844	-1.43152	4.61667	5.90954	0.17796	0.106361	4	8	t-test	E
YJR109C	CPA2	0.229558	0.415283	-1.36271	2.97049	4.23386	0.996604	0.337624	8	16	t-test	E
YDR245W	MNN10	0.00369812	0.055596	-1.36144	3.32034	4.57445	0.148329	0.314208	4	8	t-test	E
YDR392W	SPT3	0.00986951	0.081842	-1.32462	3.93317	5.13726	0.249659	0.0701689	4	8	t-test	E
YHR158C	KEL1	0.39746	0.575075	-1.32374	4.52665	5.71627	1.34265	0.115517	4	8	t-test	E
YMR086C-A	YMR086C-A	0.419578	0.592389	-1.3102	4.70307	5.87542	1.40312	0.0798032	4	8	t-test	E
YDR410C	STE14	0.147092	0.325123	-1.19501	0.25	1.41188	0.144338	0.708686	4	8	t-test	E
YDL118W	YDL118W	1.21903e-05	0.00114724	-1.12363	5.00172	5.98493	0.0536471	0.118431	4	8	t-test	E
YJL204C	RCY1	0.139385	0.316173	-1.01343	3.52399	4.4334	0.507087	0.246895	4	8	t-test	E
YBR231C	SWC5	0.00289514	0.0496393	-0.977558	4.57687	5.42709	0.157386	0.183914	4	8	t-test	E
YLR193C	UPS1	0.000274052	0.0146913	-0.960835	3.74802	4.60091	0.101263	0.139819	4	8	t-test	E
YBR238C	YBR238C	3.15664e-05	0.00249172	-0.954531	5.26797	6.07986	0.0739781	0.108871	4	8	t-test	E
YLR182W	SWI6	0.221207	0.40731	-0.951641	0.5	1.41836	0	0.692391	4	8	t-test	E
YGR188C	BUB1	0.00158014	0.0418546	-0.931272	3.48439	4.31444	0.102916	0.184645	4	8	t-test	E
YBR222C	PCS60	0.000547748	0.0228108	-0.926633	5.60582	6.38271	0.0712295	0.160098	4	8	t-test	E
YBR093C	PHO5	0.0105195	0.0843101	-0.920059	4.13481	4.93899	0.0739365	0.260896	4	8	t-test	E
YDR254W	CHL4	8.19109e-06	0.000806727	-0.913962	5.31945	6.09052	0.0645798	0.0852228	4	8	t-test	E
YPL017C	IRC15	3.43146e-05	0.00264223	-0.891944	5.23123	5.98281	0.0468578	0.10658	4	8	t-test	E
YDL119C	YDL119C	0.000860588	0.0291567	-0.882876	5.32745	6.06796	0.120231	0.0861082	4	8	t-test	E
YCL037C	SRO9	0.333226	0.516837	-0.876348	0.725823	1.56544	0.225823	0.80162	4	8	t-test	E
YCR033W	SNT1	7.10422e-05	0.00509938	-0.871386	4.69275	5.43658	0.0844707	0.0942837	4	8	t-test	E
YIL084C	SDS3	6.61395e-05	0.00482932	-0.860824	4.64036	5.37508	0.0794897	0.100243	4	8	t-test	E
YBR212W	NGR1	0.00253222	0.0465513	-0.84837	5.63275	6.33255	0.117429	0.172767	4	8	t-test	E
YDR207C	UME6	0.0579065	0.198325	-0.844552	3.952	4.6866	0.0773324	0.361951	4	8	t-test	E
YDR162C	NBP2	0.00336525	0.0541252	-0.818146	5.18923	5.86967	0.14498	0.131009	4	8	t-test	E
YAL013W	DEP1	0.00523223	0.063735	-0.809046	4.66836	5.35184	0.156925	0.124936	4	8	t-test	E
YBR207W	FTH1	0.00281615	0.0492826	-0.806972	5.7833	6.4392	0.129878	0.150312	4	8	t-test	E
YGR157W	CHO2	0.289779	0.476066	-0.803963	3.50734	4.21247	0.305131	0.633456	4	8	t-test	E
YCR086W	CSM1	1.74426e-05	0.00153895	-0.80052	4.53043	5.20875	0.064045	0.0769956	4	8	t-test	E
YCR028C-A	RIM1	0.000582061	0.023255	-0.795688	4.70999	5.37947	0.0864732	0.132509	4	8	t-test	E
YBR178W	YBR178W	0.00384557	0.0561032	-0.792774	5.84217	6.48284	0.140791	0.14217	4	8	t-test	E
YBR221C	PDB1	0.000727958	0.0268533	-0.782793	5.17971	5.82582	0.0433065	0.139686	4	8	t-test	E
YBR150C	TBS1	0.005624	0.0658121	-0.769854	5.45586	6.083	0.14405	0.152549	4	8	t-test	E
YLR065C	ENV10	0.673559	0.788764	-0.76291	3.06404	3.73922	1.48404	0.82463	4	8	t-test	E
YBR156C	SLI15	0.00601727	0.0679551	-0.761483	5.67893	6.29278	0.0711453	0.193408	4	8	t-test	E
YBR107C	IML3	0.00194628	0.0433815	-0.760267	5.51563	6.13203	0.0533137	0.158987	4	8	t-test	E
YBR220C	YBR220C	0.00182289	0.0422293	-0.7546	5.70309	6.30966	0.0682384	0.156027	4	8	t-test	E
YFL036W	RPO41	0.00400571	0.056898	-0.746392	4.51777	5.14348	0.0631665	0.176381	4	8	t-test	E
YBR201W	DER1	0.00351657	0.0551443	-0.743176	5.88252	6.47381	0.0608885	0.171711	4	8	t-test	E
YLR418C	CDC73	0.000537203	0.0228108	-0.742157	4.86396	5.47761	0.0900626	0.0597119	4	8	t-test	E
YBR162C	TOS1	0.0066885	0.0695717	-0.731083	5.74371	6.32637	0.122531	0.171883	4	8	t-test	E
YDL184C	RPL41A	0.0728377	0.22272	-0.72535	5.37856	5.96398	0.278772	0.116236	4	8	t-test	E
YBR139W	YBR139W	0.0134722	0.0936989	-0.722474	5.85718	6.42882	0.156521	0.173682	4	8	t-test	E
YDL071C	YDL071C	0.000394138	0.0187548	-0.718205	5.42768	6.00499	0.0745055	0.113229	4	8	t-test	E
YBR223C	TDP1	0.00911972	0.0789302	-0.713174	5.63367	6.20135	0.132913	0.171588	4	8	t-test	E
YDL027C	YDL027C	0.0012942	0.0388719	-0.710296	5.66943	6.23348	0.0846791	0.133303	4	8	t-test	E
YBR182C	SMP1	0.00609212	0.0679689	-0.70997	5.53883	6.10556	0.125581	0.156316	4	8	t-test	E
YDL038C	YDL038C	0.00300258	0.05046	-0.707232	5.62397	6.18607	0.103053	0.146121	4	8	t-test	E
YIL040W	APQ12	0.482027	0.645599	-0.703617	3.98537	4.5815	0.613702	0.723297	4	8	t-test	E
YGL046W	YGL046W	0.000203148	0.0117854	-0.702906	5.20155	5.7691	0.0786897	0.0672452	4	8	t-test	E
YBR210W	ERV15	0.00461499	0.0605052	-0.702252	5.61411	6.17156	0.113476	0.152478	4	8	t-test	E
YOR026W	BUB3	0.0379201	0.157596	-0.699099	3.73035	4.32791	0.216477	0.10892	4	8	t-test	E
YBR099C	YBR099C	0.00238212	0.046174	-0.698524	5.54928	6.10458	0.0816746	0.14761	4	8	t-test	E
YBR056W	YBR056W	0.00364911	0.055556	-0.695788	5.82167	6.36805	0.0546653	0.161798	4	8	t-test	E
YDR388W	RVS167	0.00149977	0.0410913	-0.690755	4.8254	5.3897	0.100893	0.116384	4	8	t-test	E
YKL032C	IXR1	0.00171672	0.0422293	-0.688491	4.82078	5.38298	0.101	0.12107	4	8	t-test	E
YHL027W	RIM101	3.05681e-05	0.00248954	-0.685795	5.1735	5.72497	0.0129983	0.0735281	4	8	t-test	E
