R package version: 0.0-43
Summary type: median
Test type: wilcoxon
x-axis treatment: 37
x-axis medium: SDM_rhl_CNGT
x-axis screen ID: cSGA
x-axis screen name: cSGA
x-axis libraries: Boone Standard SDL
x-axis client: MS
x-axis user: SGA
x-axis date: 2009
x-axis PI: DAL
x-axis condition: 
x-axis inoculation type: DIL
x-axis fitness definition: r
y-axis treatment: 37
y-axis medium: SDM_rhl_CNGHT
y-axis screen ID: bir1-17
y-axis screen name: bir1-17
y-axis libraries: 
y-axis client: MS
y-axis user: AC
y-axis date: 2010
y-axis PI: DAL
y-axis condition: 
y-axis inoculation type: DIL
y-axis fitness definition: r
#########################################################
ORF	Gene	P	Q	GIS	QueryFitnessSummary	ControlFitnessSummary	QuerySE	ControlSE	QueryCount	ControlCount	TestType	Type
YPL017C	IRC15	0.0740244	0.146561	-2.97859	0.289258	6.21409	0.769961	0.106239	4	8	wilcoxon	E
YDR254W	CHL4	0.00836037	0.0306813	-2.86245	0.25	6.24156	0.538539	0.205427	4	8	wilcoxon	E
YJR135C	MCM22	0.00802185	0.0301252	-2.82061	0.5	6.3068	0.125	0.0937656	4	8	wilcoxon	E
YBR107C	IML3	0.00802185	0.0301252	-2.72728	0.5	6.08436	0.125	0.059558	4	8	wilcoxon	E
YLR381W	CTF3	0.00802185	0.0301252	-2.71648	0.5	6.32246	0.0413548	0.056817	4	8	wilcoxon	E
YDR318W	MCM21	0.20194	0.322163	-2.65514	0.547157	6.21336	1.12358	0.159103	4	8	wilcoxon	E
YOR349W	CIN1	0.0040404	0.0192693	-2.58304	0.636665	6.24551	0.0776073	0.0986634	4	8	wilcoxon	E
YPL018W	CTF19	0.00836037	0.0306813	-2.57046	0.526437	6.0591	0.0890153	0.0737435	4	8	wilcoxon	E
YPL253C	VIK1	0.0040404	0.0192693	-2.53366	0.812632	6.17067	0.237884	0.0924609	4	8	wilcoxon	E
YNR041C	COQ2	0.00836037	0.0306813	-2.52892	0.5	5.80105	0.171891	0.112384	4	8	wilcoxon	E
YPR046W	MCM16	0.20194	0.322163	-2.50274	0.570469	6.01125	2.86345	0.158711	4	8	wilcoxon	E
YDR126W	SWF1	0.00836037	0.0306813	-2.49769	0.25	5.49023	0.19884	0.324493	4	8	wilcoxon	E
YDR333C	RQC1	0.00836037	0.0306813	-2.37295	0.511633	5.67014	0.0462676	0.108968	4	8	wilcoxon	E
YDL035C	GPR1	0.394107	0.520925	-2.36839	0.5	5.6197	0.803633	0.728669	4	8	wilcoxon	E
YML124C	TUB3	0.0040404	0.0192693	-2.34805	0.908854	6.25812	0.455449	0.0617412	4	8	wilcoxon	E
YLR119W	SRN2	0.0644341	0.140153	-2.3309	0	4.8937	0.125	0.840361	4	8	wilcoxon	E
YCL029C	BIK1	0.00836037	0.0306813	-2.30769	0.519587	5.58241	0.239446	0.0886457	4	8	wilcoxon	E
YPL008W	CHL1	0.0040404	0.0192693	-2.28935	0.767306	5.8217	0.061287	0.069181	4	8	wilcoxon	E
YLR217W	YLR217W	0.00802185	0.0301252	-2.27462	0.5	5.82471	0.424533	0.135058	4	8	wilcoxon	E
YDR388W	RVS167	0.0397679	0.10103	-2.27361	0.5	5.24215	0.125	0.669392	4	8	wilcoxon	E
YOR195W	SLK19	0.0040404	0.0192693	-2.26158	0.997502	6.29929	0.52313	0.0563018	4	8	wilcoxon	E
YLR015W	BRE2	0.00836037	0.0306813	-2.19557	0.261824	5.09391	0.155728	0.139527	4	8	wilcoxon	E
YDR074W	TPS2	0.040829	0.103664	-2.18878	0.5	5.20419	0.132955	0.671255	4	8	wilcoxon	E
YPL138C	SPP1	0.00736638	0.0301252	-2.18876	0.5	5.21691	0	0.119863	4	8	wilcoxon	E
YML041C	VPS71	0.00802185	0.0301252	-2.16459	0.5	5.16074	0.0113875	0.19852	4	8	wilcoxon	E
YHL007C	STE20	0.38387	0.508504	-2.12751	0.5	5.06132	0.125	1.0526	4	8	wilcoxon	E
YDR485C	VPS72	0.0740244	0.146561	-2.12443	0.544248	5.47214	0.596185	0.290587	4	8	wilcoxon	E
YCL016C	DCC1	0.00836037	0.0306813	-2.11227	0.25	4.66073	0.148055	0.282193	4	8	wilcoxon	E
YGR200C	ELP2	0.0040404	0.0192693	-2.11189	0.54584	5.18018	0.153904	0.0851123	4	8	wilcoxon	E
